Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,Injection,tech_N,tech_mean,tech_sd,tech_se
1,48,BPS,145.0,0.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,0.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,1.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,1.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,2.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,2.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,3.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,3.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,4.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,4.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,5.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,5.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,6.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,6.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,7.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,7.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,8.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,8.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,9.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,9.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,10.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,10.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,11.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,11.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,12.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,12.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,13.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,13.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,14.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,14.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,15.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,15.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,16.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,16.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,17.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,17.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,18.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,18.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,19.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,19.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,20.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,20.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,21.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,21.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,22.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,22.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,23.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,23.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,24.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,24.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,25.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,25.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,26.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,26.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,27.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,27.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,28.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,28.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,29.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,29.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,30.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,30.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,31.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,31.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,32.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,32.5,25.0,2,3,0.0,0.0,0.0
1,48,BPS,145.0,33.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,33.5,25.0,2,3,0.0,0.0,0.0
