"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a4",4.58099910615929e-150,1.98495627453384,0.991,0.218,1.28258812974248e-145,"Classical monocytes","S100a4"
"Ms4a6c",8.95331394540045e-145,1.78237476841708,0.975,0.194,2.50674883843322e-140,"Classical monocytes","Ms4a6c"
"F13a1",1.3675027105904e-137,1.7614241860575,0.892,0.059,3.82873408911101e-133,"Classical monocytes","F13a1"
"Ccr2",2.12350674708465e-136,1.65948833179981,0.96,0.161,5.9453941904876e-132,"Classical monocytes","Ccr2"
"Ly6c2",2.33944041462937e-130,1.99599357282229,0.947,0.165,6.54996527287931e-126,"Classical monocytes","Ly6c2"
"Plac8",9.19668604307815e-130,1.90885696695274,0.998,0.325,2.57488815834102e-125,"Classical monocytes","Plac8"
"Ifitm3",7.21313354870152e-129,1.67083558080467,0.999,0.376,2.01953313096545e-124,"Classical monocytes","Ifitm3"
"Lgals3",6.07781936948715e-124,1.30125047413251,0.999,0.494,1.70166786706901e-119,"Classical monocytes","Lgals3"
"Ccl9",3.25666411427446e-121,1.47584540039943,0.923,0.185,9.11800818714563e-117,"Classical monocytes","Ccl9"
"Alox5ap",3.04248826122993e-111,1.1969221979346,0.996,0.419,8.51835863379156e-107,"Classical monocytes","Alox5ap"
"Tgfbi",2.24161599164354e-109,1.41646959853136,0.948,0.313,6.27607645340358e-105,"Classical monocytes","Tgfbi"
"Smpdl3a",7.04967245330901e-109,1.3204995486509,0.949,0.388,1.97376729347746e-104,"Classical monocytes","Smpdl3a"
"S100a6",9.32038806359161e-102,0.998355251197776,0.999,0.517,2.60952225004438e-97,"Classical monocytes","S100a6"
"Fn1",1.03334820006096e-101,1.44047483099695,0.88,0.152,2.89316829053068e-97,"Classical monocytes","Fn1"
"Prdx5",8.34472134714593e-98,1.01681540303669,0.983,0.617,2.33635508277392e-93,"Classical monocytes","Prdx5"
"Lst1",1.24192997362525e-96,1.00997658462896,0.942,0.264,3.47715554015597e-92,"Classical monocytes","Lst1"
"Ifitm6",1.94915771320025e-94,1.19738698152943,0.834,0.123,5.45725176541807e-90,"Classical monocytes","Ifitm6"
"Gpx1",2.40426104777451e-94,0.916711039273599,0.998,0.762,6.73145008155907e-90,"Classical monocytes","Gpx1"
"Wfdc17",7.58274871646514e-94,0.446141488147993,0.991,0.381,2.12301798563591e-89,"Classical monocytes","Wfdc17"
"Vim",1.94170369573443e-91,1.08331204835276,0.995,0.611,5.43638200731726e-87,"Classical monocytes","Vim"
"Vcan",8.98170706863196e-91,1.2218943742803,0.6,0.018,2.51469834507558e-86,"Classical monocytes","Vcan"
"Pld4",3.19183373537868e-90,1.10159969910139,0.883,0.246,8.93649609231324e-86,"Classical monocytes","Pld4"
"Tyrobp",6.82706873623141e-90,0.978456845354198,1,0.588,1.91144270477007e-85,"Classical monocytes","Tyrobp"
