particle_size,std_10000_no_1_00,std_10000_no_1_01,std_10000_no_1_02,std_10000_yes_1_00,std_10000_yes_1_01,std_10000_yes_1_02,std_10000_no_2_00,std_10000_no_2_01,std_10000_no_2_02,std_10000_yes_2_00,std_10000_yes_2_01,std_10000_yes_2_02,std_10000_no_3_00,std_10000_no_3_01,std_10000_no_3_02,std_10000_yes_3_00,std_10000_yes_3_01,std_10000_yes_3_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,38
34.5,0,0,0,0,0,0,0,0,1238,0,0,0,0,0,0,0,0,686
35.5,0,0,0,0,0,0,0,0,3460,0,0,11,0,0,0,0,0,6250
36.5,0,0,0,0,0,0,0,0,7519,0,0,261,0,0,0,0,0,30035
37.5,0,0,0,0,0,0,1,4,13331,0,1,3195,0,0,0,0,0,80575
38.5,0,0,0,0,0,0,4,20,20135,0,6,21829,0,0,0,0,0,127911
39.5,0,0,0,0,0,0,16,94,26911,0,19,86599,0,0,0,0,0,127582
40.5,0,0,0,0,0,0,54,392,32876,0,39,208970,0,0,0,0,0,85041
41.5,0,0,0,0,0,0,160,1439,37727,0,57,322807,0,0,0,0,0,40350
42.5,0,0,0,0,0,0,439,4718,41576,0,61,337164,0,0,0,0,0,14532
43.5,0,1,0,0,0,0,1111,13856,44774,0,52,252174,0,0,0,0,0,4239
44.5,0,2,0,0,0,0,2621,36492,47739,0,35,143291,0,0,0,0,0,1068
45.5,0,4,0,0,0,0,5791,86199,50865,0,21,65684,0,0,0,0,0,248
46.5,3,6,0,0,0,0,12038,182569,54485,0,11,25788,3,0,0,0,0,56
47.5,11,9,0,0,0,0,23647,346832,58874,0,5,9194,7,0,0,0,0,13
48.5,38,13,0,0,0,0,44050,591944,64262,0,3,3148,19,0,0,0,0,3
49.5,120,18,0,0,0,0,78053,910724,70847,0,1,1091,47,0,0,0,0,1
50.5,349,26,0,0,0,0,131918,1269988,78813,0,0,401,107,0,0,0,0,0
51.5,927,37,0,0,0,0,213196,1617263,88336,0,0,163,229,0,0,0,0,0
52.5,2268,55,0,0,0,0,330266,1898514,99600,0,0,76,467,0,0,0,0,0
53.5,5118,85,0,0,0,0,491562,2077094,112812,0,0,41,911,0,0,0,0,0
54.5,10714,136,0,0,0,0,704603,2143566,128228,0,0,27,1706,0,4,0,0,0
55.5,20899,224,0,0,0,0,974989,2113136,146180,0,0,21,3089,0,17,0,0,0
56.5,38196,380,0,0,0,0,1305587,2015148,167123,0,0,20,5424,2,63,0,0,0
57.5,65767,660,0,0,0,0,1696112,1881649,191678,0,0,22,9260,4,200,0,0,0
58.5,107277,1164,0,2,0,0,2143209,1739715,220700,0,0,29,15408,11,549,0,0,0
59.5,166700,2075,0,8,0,0,2641050,1608503,255346,0,0,44,25023,26,1329,0,0,0
60.5,248113,3707,3,25,0,0,3182333,1499697,297170,0,0,76,39711,62,2884,0,0,2
61.5,355557,6593,8,75,0,0,3759495,1419513,348235,0,0,143,61639,145,5696,0,0,6
62.5,493012,11604,26,211,0,0,4365932,1370945,411258,0,0,291,93631,334,10381,0,0,19
63.5,664492,20107,80,556,0,0,4997055,1355629,489792,0,1,619,139256,758,17688,0,0,59
64.5,874253,34168,235,1385,0,0,5651073,1375195,588462,2,2,1350,202874,1686,28509,0,0,179
65.5,1127074,56778,666,3275,0,1,6329469,1432196,713244,7,6,2958,289617,3674,43922,0,2,534
66.5,1428567,92109,1819,7369,1,6,7037212,1530774,871812,26,13,6401,405312,7813,65273,2,11,1520
67.5,1785479,145771,4764,15825,5,29,7782765,1677209,1073929,94,33,13494,556316,16149,94291,11,55,4085
68.5,2205954,225088,11913,32501,20,125,8577987,1880437,1331877,316,83,27416,749282,32313,133235,56,244,10280
69.5,2699720,339371,28364,63954,78,487,9437991,2152626,1660901,994,214,53311,990859,62346,185063,243,960,24115
70.5,3278189,500230,64144,120740,276,1741,10381023,2509815,2079598,2920,554,98800,1287367,115598,253611,920,3337,52644
71.5,3954439,721922,137513,218928,917,5694,11428389,2972628,2610198,8012,1432,174249,1644459,205391,343777,3063,10293,107061
72.5,4743051,1021739,279115,381556,2853,17014,12604403,3567008,3278624,20534,3655,292659,2066823,349022,461691,9045,28304,203415
73.5,5659768,1420423,536078,639611,8302,46459,13936350,4324897,4114222,49211,9146,469235,2557950,566676,614849,23956,69788,362625
74.5,6720956,1942557,974329,1031970,22580,116005,15454374,5284691,5149036,110480,22273,720889,3119994,879094,812196,57521,155331,609663
75.5,7942824,2616859,1676947,1603822,57392,265203,17191217,6491263,6416509,232911,52451,1065999,3753738,1304360,1064138,126489,314391,972068
76.5,9340423,3476271,2736665,2403336,136331,556293,19181686,7995238,7949553,462366,118796,1524689,4458675,1854665,1382500,257163,583209,1478178
77.5,10926419,4557703,4242178,3476801,302770,1073891,21461728,9851146,9777961,866890,257591,2119683,5233178,2534170,1780416,487553,999727,2155457
78.5,12709708,5901294,6260173,4863018,629077,1915307,24066958,12114090,11925272,1539750,532805,2877571,6074767,3338778,2272222,868578,1596931,3029146
79.5,14693947,7549012,8817242,6587987,1224138,3170947,27030522,14834586,14405296,2598661,1048401,3830148,6980412,4258001,2873376,1463737,2397138,4121240
80.5,16876136,9542469,11886743,8661004,2234177,4899824,30380193,18051517,17218609,4179376,1958829,5015432,7946877,5278358,3600448,2346770,3409585,5449649
81.5,19245384,11919829,15384759,11072838,3831392,7109476,34134681,21783464,20349450,6422555,3471432,6477916,8971049,6387292,4471195,3597020,4632183,7027349
82.5,21781997,14711794,19176777,13796105,6187247,9749095,38299260,26019277,23763482,9454211,5833223,8267590,10050249,7576612,5504693,5292511,6056617,8861372
83.5,24457031,17936754,23093605,16787374,9432748,12719086,42860959,30709304,27406844,13361905,9296399,10437281,11182486,8844787,6721406,7501182,7674838,10951603
84.5,27232378,21595352,26952677,19990197,13614814,15893080,47783787,35759220,31206840,18170675,14063015,13037860,12366662,10197877,8143078,10271177,9484936,13289462
85.5,30061431,25664911,30579903,23338280,18662441,19143726,53004623,41028539,35074419,23823895,20218264,16111052,13602700,11649256,9792225,13621482,11495013,15856618
86.5,32890287,30094366,33827891,26758240,24375730,22363690,58430569,46335494,38908374,30174205,27670051,19679928,14891606,13218435,11691032,17534346,13724546,18623957
87.5,35659435,34800558,36587882,30171801,30444344,25476917,63938594,51468927,42600944,36988028,36115736,23737727,16235448,14929278,13859442,21950771,16203268,21551004
88.5,38305808,39666793,38794686,33497615,36492131,28439631,69378177,56206371,46044294,43964260,45052114,28236458,17637264,16807801,16312303,26769842,18967860,24585967
89.5,40765093,44544589,40425381,36653104,42135982,31233716,74577357,60335886,49137199,50764331,53832767,33077511,19100880,18879625,19055548,31852059,22056632,27666504
90.5,42974201,49259260,41493502,39556754,47043197,33856184,79352145,63678050,51791224,57048072,61762303,38107033,20630642,21167024,22081563,37026174,25502221,30721226
91.5,44873800,53619537,42040664,42131112,50973750,36308028,83518639,66104220,53935762,62508645,68205285,43118789,22231039,23685525,25364188,42098684,29322280,33671889
92.5,46410840,57430824,42127411,44306510,53800122,38584672,86906688,67547867,55521465,66900535,72683519,47866284,23906218,26440019,28854045,46864975,33508307,36436139
93.5,47541003,60510911,41824580,46025179,55504721,40669259,89373479,68007332,56521828,70056810,74939757,52084146,25659362,29420512,32475210,51121290,38013295,38930685
