NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,PBS_LPS_.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
Remarks,"Created from combined experiments: PBS_3_500_.nano, LPS_1_250_.nano, PBS_5_250_.nano, PBS_4_250_.nano, PBS_1_250_.nano, PBS_2_250_.nano, LPS_5_250_.nano, LPS_4_250_.nano, LPS_3_250_.nano, LPS_2_250_.nano"

Filename:,PBS_3_500_00,PBS_3_500_01,PBS_3_500_02,PBS_3_500_03,PBS_3_500_04,LPS_1_250_00,LPS_1_250_01,LPS_1_250_02,LPS_1_250_03,LPS_1_250_04,PBS_5_250_00,PBS_5_250_01,PBS_5_250_02,PBS_5_250_03,PBS_5_250_04,PBS_4_250_00,PBS_4_250_01,PBS_4_250_02,PBS_4_250_03,PBS_4_250_04,PBS_1_250_00,PBS_1_250_01,PBS_1_250_02,PBS_1_250_03,PBS_1_250_04,PBS_2_250_00,PBS_2_250_01,PBS_2_250_02,PBS_2_250_03,PBS_2_250_04,LPS_5_250_00,LPS_5_250_01,LPS_5_250_02,LPS_5_250_03,LPS_5_250_04,LPS_4_250_00,LPS_4_250_01,LPS_4_250_02,LPS_4_250_03,LPS_4_250_04,LPS_3_250_00,LPS_3_250_01,LPS_3_250_02,LPS_3_250_03,LPS_3_250_04,LPS_2_250_00,LPS_2_250_01,LPS_2_250_02,LPS_2_250_03,LPS_2_250_04,

[Conditions]
Temperature/C,22.649,22.639,22.658,22.705,22.693,22.884,22.893,22.93,22.908,22.915,22.893,22.873,22.882,22.918,22.895,22.844,22.85,22.886,22.864,22.871,22.905,22.914,22.951,22.93,22.937,22.856,22.897,22.879,22.889,22.927,22.754,22.766,22.805,22.787,22.796,22.773,22.783,22.822,22.802,22.81,22.805,22.844,22.825,22.833,22.868,22.791,22.772,22.782,22.82,22.799,
Viscosity/cP,0.938425,0.938646,0.938227,0.937189,0.937454,0.933256,0.933059,0.93225,0.932731,0.932578,0.933059,0.933497,0.9333,0.932512,0.933015,0.934133,0.934001,0.933212,0.933694,0.933541,0.932797,0.9326,0.931791,0.93225,0.932097,0.93387,0.932972,0.933366,0.933147,0.932315,0.93611,0.935846,0.934989,0.935384,0.935187,0.935692,0.935472,0.934616,0.935055,0.934879,0.934989,0.934133,0.93455,0.934374,0.933607,0.935296,0.935714,0.935494,0.93466,0.935121,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Slider Shutter,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
Slider Gain,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,
Shutter/ms,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Camera Histogram Upper Limit,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,14.0231,14.2946,13.9516,14.3916,14.1161,12.7715,12.3126,12.7439,12.8413,12.9216,12.8178,12.7827,12.9577,13.2685,12.8982,14.6428,14.241,14.0586,14.5486,14.5228,14.475,12.6856,12.9806,12.5419,12.5372,13.3975,13.7945,13.5487,13.7236,13.9017,14.2199,14.43,14.4807,14.5241,14.5546,12.8145,12.1753,12.2194,12.3657,12.219,16.4611,15.6144,15.1678,15.0954,15.7023,15.9149,14.2926,14.219,13.7933,14.0479,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.33e+009,1.28e+009,1.22e+009,1.16e+009,9.76e+008,4.81e+008,4.40e+008,4.09e+008,5.39e+008,5.23e+008,1.55e+009,1.54e+009,1.74e+009,1.60e+009,1.60e+009,6.73e+008,7.37e+008,6.18e+008,6.77e+008,7.05e+008,1.74e+009,1.76e+009,2.06e+009,1.87e+009,1.66e+009,1.28e+009,1.40e+009,1.38e+009,1.48e+009,1.48e+009,9.73e+008,1.11e+009,9.78e+008,1.04e+009,1.09e+009,1.75e+009,1.62e+009,1.89e+009,1.72e+009,1.59e+009,5.21e+008,6.90e+008,5.91e+008,6.79e+008,9.07e+008,8.82e+008,1.34e+009,1.18e+009,1.17e+009,1.13e+009,1.18e+009,6.46e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Particles per frame,250.5,240.9,229.9,214.9,182.8,87.3,79.3,75.1,95.4,90.3,290.2,289.9,327.7,300.4,300.4,108.6,115.8,99.1,108.8,114.5,248.9,240.0,275.1,259.6,235.5,206.0,225.4,218.3,234.5,230.9,172.0,190.7,173.0,179.3,189.5,332.1,306.7,357.2,324.4,299.2,87.2,114.0,99.3,114.7,152.9,167.6,254.0,222.9,220.8,214.6,203.0,11.2
Centres per frame,223.2,212.8,205.5,197.8,180.1,89.7,83.5,82.7,98.4,96.0,253.4,255.1,269.4,264.4,261.3,107.9,112.0,98.8,108.8,110.9,217.4,222.0,234.4,233.6,222.1,182.0,188.4,188.6,196.2,193.1,174.2,190.2,178.5,186.5,195.2,263.4,258.0,279.8,262.6,249.2,96.8,116.8,111.0,121.8,149.1,178.7,233.7,216.1,217.1,211.0,185.6,8.5
Completed tracks,13826,13138,12590,12326,11031,4494,4114,4123,5085,5101,16083,15829,16919,16539,16525,6535,6720,5669,6580,6587,15424,16179,17275,16963,15728,11831,12178,12461,13101,13014,11011,12442,11450,12007,12660,15978,15467,17069,16002,15093,5830,7415,7050,7882,9792,10920,14844,13604,13988,13285,
X-Drift (pix/frame),-4.0,-4.1,-3.9,-4.0,-3.9,-3.9,-3.9,-3.8,-4.0,-3.8,-3.7,-3.8,-3.8,-3.8,-3.7,-4.0,-3.9,-3.7,-3.7,-3.8,-4.4,-3.7,-3.8,-3.8,-3.8,-3.7,-3.7,-3.8,-3.7,-3.8,-3.9,-3.6,-3.7,-3.6,-3.7,-4.4,-3.9,-3.9,-3.9,-4.0,-6.2,-4.3,-4.1,-3.9,-4.0,-5.1,-3.6,-3.3,-3.2,-3.4,
Y-Drift (pix/frame),0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.1,-0.0,-0.0,-0.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1,-0.0,0.0,0.0,-0.0,-0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1,0.1,0.1,0.1,0.1,-0.1,-0.0,-0.1,-0.1,-0.0,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Vibration detected,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Moderate vibration,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Moderate vibration,No,No,No,No,Minor vibration,No,No,Minor vibration,No,
Vibration correction applied,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,
Settings changed?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Errors (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errors (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,PBS_3_500_00,PBS_3_500_01,PBS_3_500_02,PBS_3_500_03,PBS_3_500_04,LPS_1_250_00,LPS_1_250_01,LPS_1_250_02,LPS_1_250_03,LPS_1_250_04,PBS_5_250_00,PBS_5_250_01,PBS_5_250_02,PBS_5_250_03,PBS_5_250_04,PBS_4_250_00,PBS_4_250_01,PBS_4_250_02,PBS_4_250_03,PBS_4_250_04,PBS_1_250_00,PBS_1_250_01,PBS_1_250_02,PBS_1_250_03,PBS_1_250_04,PBS_2_250_00,PBS_2_250_01,PBS_2_250_02,PBS_2_250_03,PBS_2_250_04,LPS_5_250_00,LPS_5_250_01,LPS_5_250_02,LPS_5_250_03,LPS_5_250_04,LPS_4_250_00,LPS_4_250_01,LPS_4_250_02,LPS_4_250_03,LPS_4_250_04,LPS_3_250_00,LPS_3_250_01,LPS_3_250_02,LPS_3_250_03,LPS_3_250_04,LPS_2_250_00,LPS_2_250_01,LPS_2_250_02,LPS_2_250_03,LPS_2_250_04,Average,Standard Error
