NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,NA_NP_Plasma_.nano
Sample Name,"NA_NP_plasma_ exo"
Operator Name,"SN"
Time Captured,10:52:35  14/03/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,NA_NP_Plasma_00,NA_NP_Plasma_01,NA_NP_Plasma_02,NA_NP_Plasma_03,NA_NP_Plasma_04,

[Conditions]
Temperature/C,22.414,22.402,22.418,22.465,22.452,
Viscosity/cP,0.94364,0.943908,0.943551,0.942505,0.942794,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,13.7277,13.2532,13.9877,13.8216,13.2018,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),1.00e+003,1.00e+003,1.00e+003,1.00e+003,1.00e+003,
Concentration (Particles / ml),2.97e+011,2.98e+011,2.60e+011,3.25e+011,2.05e+011,2.77e+011,2.08e+010
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,45.7,45.5,39.4,45.3,33.5,41.9,2.4
Centres per frame,49.8,48.5,43.7,48.2,36.8,45.4,2.4
Completed tracks,2691,2533,2320,2681,1894,
X-Drift (pix/frame),-3.9,-3.9,-3.9,-4.0,-3.8,
Y-Drift (pix/frame),1.2,1.1,1.1,1.2,1.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,NA_NP_Plasma_00,NA_NP_Plasma_01,NA_NP_Plasma_02,NA_NP_Plasma_03,NA_NP_Plasma_04,Average,Standard Error
Mean,112.7,118.9,118.6,116.6,122.2,117.8,1.6
Mode,66.8,79.5,108.2,79.8,80.5,82.9,6.8
SD,43.3,49.0,48.7,53.3,43.1,47.5,1.9
D10,65.6,74.5,69.7,72.7,76.4,71.8,1.9
D50,103.5,104.3,106.1,97.1,110.8,104.4,2.2
D90,159.5,194.8,184.5,178.5,189.5,181.4,6.1
Valid Tracks,925.0,859.0,768.0,894.0,611.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,3,0,0,0,0,
23.5,0,0,8,0,0,2,2,
24.5,0,0,22,0,0,4,4,
25.5,0,0,60,0,0,12,12,
26.5,0,0,152,0,0,30,30,
27.5,0,0,367,0,0,74,73,
28.5,0,2,849,0,0,170,170,
29.5,0,5,1887,0,0,378,377,
30.5,0,14,4059,0,0,815,811,
31.5,0,35,8488,0,0,1705,1696,
32.5,1,81,17305,0,0,3478,3457,
33.5,4,178,34483,2,0,6933,6888,
34.5,12,361,67251,11,0,13527,13431,
35.5,36,692,128444,48,0,25844,25650,
36.5,103,1258,240243,186,0,48358,47972,
37.5,291,2187,439864,656,0,88599,87817,
38.5,790,3664,787812,2092,0,158872,157236,
39.5,2082,5974,1379267,6096,0,278684,275148,
40.5,5321,9561,2358964,16366,0,478042,470238,
41.5,13200,15149,3939627,40823,0,801760,784495,
42.5,31820,23967,6423552,95384,0,1314945,1277249,
43.5,74628,38144,10226459,210383,0,2109923,2029444,
44.5,170461,61456,15902127,441201,0,3315049,3147677,
45.5,379631,100716,24165640,885399,0,5106277,4767316,
46.5,825198,168374,35912034,1709527,0,7723027,7053652,
47.5,1752236,287387,52225850,3189423,0,11490979,10199637,
48.5,3636763,500185,74375550,5767438,5,16855988,14418461,
49.5,7378763,884862,103785606,10127466,23,24435344,19929647,
50.5,14628501,1583419,141979110,17282350,105,35094697,26939802,
51.5,28304706,2848718,190486162,28657520,449,50059511,35627047,
52.5,53348549,5117742,250718724,46141128,1788,71065586,46157098,
53.5,97685734,9116636,323821061,72060432,6660,100538104,58795769,
54.5,173200249,15995230,410514703,109046811,23209,141756041,74227295,
55.5,296243401,27473688,510964951,159777266,75652,198906991,94156508,
56.5,486888093,45963828,624698631,226628911,230586,276882010,121955637,
57.5,766022505,74611343,750597272,311338331,656885,380645267,162516382,
58.5,1149806895,117205541,886975793,414788842,1748170,514105048,220573336,
59.5,1642210094,177930283,1031737547,537028466,4344768,678650232,298209935,
60.5,2227994819,260979353,1182577910,677547997,10083067,871836629,393016480,
61.5,2869637846,370110767,1337196749,835752834,21855570,1086910753,497593410,
62.5,3511059951,508239438,1493478870,1011490468,44274656,1313708677,600510167,
63.5,4088376204,677149948,1649610885,1205478126,83918571,1540906747,688578969,
64.5,4544403874,877358483,1804119101,1419509489,149066465,1758891482,749831380,
65.5,4841568073,1108092839,1955830897,1656376959,248690426,1962111839,776206894,
66.5,4968566939,1367321426,2103776725,1919495947,390712506,2149974708,765090404,
67.5,4939198099,1651762212,2247058875,2212247587,579886437,2326030642,719426326,
68.5,4785123858,1956836920,2384716087,2537075586,815947445,2495939979,646816541,
69.5,4546205366,2276587544,2515611031,2894403830,1092701268,2665101808,558429239,
70.5,4261841610,2603621027,2638362413,3281501647,1398437962,2836752932,468569013,
71.5,3965259175,2929176103,2751336051,3691511527,1717587793,3010974130,395015326,
72.5,3681052472,3243403027,2852700704,4112937622,2033120645,3184642894,356917038,
73.5,3425214054,3535908792,2940545097,4529914384,2329013303,3352119126,363487406,
74.5,3206561710,3796553874,3013043200,4923472773,2592205826,3506367477,403815517,
75.5,3028628551,4016408284,3068646526,5273776566,2813736086,3640239202,457921427,
76.5,2891427232,4188709279,3106276421,5562971364,2989030489,3747682957,510387402,
77.5,2792821868,4309635188,3125487656,5778008080,3117530012,3824696561,552464224,
78.5,2729458885,4378733971,3126577915,5912719235,3201910560,3869880113,580145067,
79.5,2697321428,4398917315,3110625928,5968611352,3247140417,3884523288,592564198,
80.5,2692013087,4376029113,3079452451,5954226069,3259552406,3872254625,590986599,
81.5,2708878614,4318088893,3035510711,5883346220,3246035056,3838371899,578068010,
82.5,2743053868,4234368321,2981723564,5772603393,3213387933,3789027416,557228103,
83.5,2789515391,4134469105,2921291178,5639092025,3167847617,3730443063,532107282,
84.5,2843175461,4027538532,2857494682,5498443717,3114769494,3668284377,506118076,
85.5,2899042405,3921702115,2793517993,5363571794,3058441066,3607255075,482102448,
86.5,2952440001,3823732642,2732303485,5244072242,3002000025,3550909679,462104734,
87.5,2999257510,3738927410,2676449131,5146128707,2947432280,3501639008,447276355,
88.5,3036187555,3671138331,2628147132,5072726598,2895629771,3460765877,437925421,
89.5,3060906573,3622892190,2589158102,5024008946,2846494303,3428692023,433692709,
90.5,3072162315,3595545510,2560811389,4997668361,2799080209,3405053557,433789938,
91.5,3069752029,3589433471,2544020923,4989335199,2751773822,3388863089,437219186,
92.5,3054397394,3603989727,2539306837,4992973179,2702509588,3378635345,442923237,
93.5,3027541540,3637830141,2546815278,5001320972,2649019941,3372505574,449868472,
94.5,2991104710,3688806711,2566331766,5006419107,2589108807,3368354220,457095559,
95.5,2947236722,3754047484,2597286697,5000238094,2520928384,3363947476,463773802,
96.5,2898097954,3830003765,2638754671,4975383274,2443229235,3357093780,469272916,
97.5,2845689465,3912527087,2689451971,4925807303,2355548839,3345804933,473239015,
98.5,2791740835,3996994873,2747738513,4847428220,2258307274,3328441943,475643516,
99.5,2737654206,4078495634,2811631527,4738544291,2152791536,3303823439,476771216,
100.5,2684496150,4152072637,2878838003,4599962786,2041029857,3271279887,477128653,
101.5,2633025578,4213011284,2946811292,4434813445,1925578542,3230648028,477282629,
102.5,2583745148,4257142723,3012834277,4248082387,1809260105,3182212928,477671646,
103.5,2536964742,4281127701,3074127576,4045957800,1694897888,3126615141,478453080,
104.5,2492867456,4282682954,3127976781,3835108215,1585087789,3064744639,479440298,
105.5,2451570861,4260718483,3171868767,3622011221,1482034623,2997640791,480146514,
106.5,2413178475,4215366954,3203624290,3412420730,1387464019,2926410893,479907572,
107.5,2377818428,4147903141,3221513310,3211017552,1302605353,2852171557,478030879,
108.5,2345668080,4060568076,3224340816,3021245572,1228230750,2776010659,473922210,
109.5,2316964865,3956325462,3211494437,2845304634,1164730467,2698963973,467164679,
110.5,2292004805,3838584700,3182949923,2684255517,1112205459,2622000081,457547554,
111.5,2271130944,3710924861,3139235918,2538190540,1070561558,2546008764,445056815,
112.5,2254714328,3576848180,3081364214,2406431008,1039594667,2471790480,429843659,
113.5,2243130177,3439582511,3010735114,2287724497,1019061035,2400046667,412185366,
114.5,2236731584,3301941954,2929029220,2180426926,1008730364,2331372010,392448870,
115.5,2235822548,3166245827,2838096808,2082663750,1008421789,2266250144,371063526,
116.5,2240631602,3034289455,2739854390,1992470506,1018023891,2205053969,348506878,
117.5,2251286778,2907356412,2636195489,1907915409,1037500127,2148050843,325305681,
118.5,2267792314,2786260524,2528919777,1827206426,1066880707,2095411950,302053513,
119.5,2290007419,2671406606,2419681970,1748783257,1106241347,2047224120,279444796,
120.5,2317627508,2562860645,2309959641,1671392173,1155668730,2003501739,258320673,
121.5,2350168634,2460422379,2201037563,1594139671,1215212105,1964196071,239711074,
122.5,2386956276,2363695412,2094005311,1516520261,1284820554,1929199563,224835195,
123.5,2427120009,2272151816,1989764612,1438414880,1364266066,1898343476,214996292,
124.5,2469595934,2185189569,1889043131,1360059199,1453054092,1871388385,211316855,
125.5,2513138762,2102182030,1792411847,1281984910,1550325568,1848008623,214370155,
126.5,2556345185,2022519205,1700303806,1204940850,1654757683,1827773346,223924775,
127.5,2597689506,1945640808,1613032682,1129803689,1764474491,1810128235,238996739,
128.5,2635571486,1871061217,1530810133,1057488942,1876982336,1794382823,258145674,
129.5,2668375022,1798386542,1453761437,988872186,1989147986,1779708635,279786125,
130.5,2694534857,1727324092,1381939229,924727850,2097238010,1765152808,302376367,
131.5,2712607172,1657684725,1315335384,865689465,2197035117,1749670373,324492911,
132.5,2721338891,1589378764,1253891228,812231729,2284039723,1732176067,344850811,
133.5,2719730082,1522406437,1197506313,764671817,2353752959,1711613522,362315207,
134.5,2707084040,1456844016,1146045973,723185509,2402021924,1687036292,375923476,
135.5,2683040589,1392827023,1099347849,687832935,2425411922,1657692063,384919593,
136.5,2647589649,1330531924,1057227543,658588969,2421557762,1623099169,388793202,
137.5,2601064063,1270157715,1019483488,635374110,2389441059,1583104087,387312377,
138.5,2544112724,1211908631,985901107,618082779,2329545748,1537910198,380539348,
139.5,2477656881,1155978969,956256315,606607055,2243860337,1488071912,368821664,
140.5,2402833935,1102540705,930318398,600854751,2135719853,1434453528,352756314,
141.5,2320933868,1051734260,907852321,600761360,2009507825,1378157927,333130182,
142.5,2233333561,1003662485,888620518,606295763,1870262199,1320434905,310845392,
143.5,2141433893,958387639,872384246,617459721,1723243243,1262581748,286841479,
144.5,2046603556,915931008,858904582,634281187,1573523271,1205848721,262027215,
145.5,1950132388,876274652,847943169,656801466,1425647985,1151359932,237233334,
