NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,ProK_GD14_Pexo_.nano
Sample Name,"ProK_GD14_plac_ exo"
Operator Name,"SN"
Time Captured,11:12:39  14/03/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,ProK_GD14_Pexo_00,ProK_GD14_Pexo_01,ProK_GD14_Pexo_02,ProK_GD14_Pexo_03,ProK_GD14_Pexo_04,

[Conditions]
Temperature/C,23.009,23.027,23.043,23.087,23.075,
Viscosity/cP,0.930525,0.930133,0.929785,0.928828,0.929088,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,13.091,14.2377,12.6884,13.5107,13.8019,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),1.00e+003,1.00e+003,1.00e+003,1.00e+003,1.00e+003,
Concentration (Particles / ml),2.08e+011,2.17e+011,1.88e+011,1.90e+011,1.93e+011,1.99e+011,5.69e+009
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,22.9,20.9,20.4,21.1,20.3,21.1,0.5
Centres per frame,25.0,23.2,22.2,23.3,23.1,23.4,0.5
Completed tracks,1401,1454,1217,1334,1440,
X-Drift (pix/frame),-3.8,-3.8,-3.6,-3.9,-3.6,
Y-Drift (pix/frame),1.1,1.1,1.0,1.1,1.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Minor vibration,No,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,No,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,ProK_GD14_Pexo_00,ProK_GD14_Pexo_01,ProK_GD14_Pexo_02,ProK_GD14_Pexo_03,ProK_GD14_Pexo_04,Average,Standard Error
