NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,NP_2000_.nano
Sample Name,"NP"
Operator Name,"SN"
Time Captured,13:54:34  19/03/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,NP_2000_00,NP_2000_01,NP_2000_02,NP_2000_03,NP_2000_04,

[Conditions]
Temperature/C,22.952,22.935,22.947,22.987,22.97,
Viscosity/cP,0.931769,0.93214,0.931878,0.931005,0.931376,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,13,13,13,13,13,
Slider Shutter,1232,1232,1232,1232,1232,
Slider Gain,219,219,219,219,219,
Shutter/ms,30.8,30.8,30.8,30.8,30.8,
Camera Histogram Upper Limit,8235,8235,8235,8235,8235,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,13.9062,14.6948,14.9049,14.0917,14.6513,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.50e+008,1.30e+008,1.30e+008,1.02e+008,1.14e+008,1.25e+008,8.08e+006
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,26.8,24.2,22.7,19.0,21.0,22.7,1.3
Centres per frame,27.1,24.5,23.0,19.3,21.1,23.0,1.3
Completed tracks,1118,956,895,726,777,
X-Drift (pix/frame),-3.2,-3.3,-3.3,-3.4,-3.5,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,Minor vibration,No,Minor vibration,
Vibration correction applied,No,No,Yes,No,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,NP_2000_00,NP_2000_01,NP_2000_02,NP_2000_03,NP_2000_04,Average,Standard Error
Mean,107.1,109.2,106.8,111.8,102.1,107.4,1.6
Mode,74.6,64.4,85.6,69.5,75.7,74.0,3.5
SD,42.6,45.4,44.1,46.5,34.9,42.7,2.1
D10,65.4,61.0,65.1,66.4,71.2,65.8,1.6
D50,88.9,107.2,89.4,95.2,88.8,93.9,3.5
D90,165.6,155.8,167.9,175.3,149.7,162.9,4.5
Valid Tracks,470.0,386.0,404.0,335.0,343.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
