NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Pexo_2000_.nano
Sample Name,"Pexo"
Operator Name,"SN"
Time Captured,14:03:23  19/03/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,Pexo_2000_00,Pexo_2000_01,Pexo_2000_02,Pexo_2000_03,Pexo_2000_04,

[Conditions]
Temperature/C,23.044,23.084,23.066,23.106,23.087,
Viscosity/cP,0.929763,0.928893,0.929284,0.928415,0.928828,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,13,13,13,13,13,
Slider Shutter,1232,1232,1232,1232,1232,
Slider Gain,219,219,219,219,219,
Shutter/ms,30.8,30.8,30.8,30.8,30.8,
Camera Histogram Upper Limit,8235,8235,8235,8235,8235,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0159,12.1743,12.4875,12.2389,11.821,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),6.55e+008,5.62e+008,5.85e+008,4.74e+008,5.04e+008,5.56e+008,3.17e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,92.6,87.4,81.3,71.4,72.0,81.0,4.2
Centres per frame,93.9,89.3,83.2,72.6,73.6,82.5,4.2
Completed tracks,5233,4505,4561,3971,3921,
X-Drift (pix/frame),-3.4,-3.2,-2.1,-2.2,-2.5,
Y-Drift (pix/frame),0.0,-0.1,-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Pexo_2000_00,Pexo_2000_01,Pexo_2000_02,Pexo_2000_03,Pexo_2000_04,Average,Standard Error
Mean,142.4,156.8,140.5,149.6,150.4,147.9,2.9
Mode,105.4,97.0,90.4,94.6,99.1,97.3,2.5
SD,64.1,82.2,62.5,81.5,75.6,73.2,4.2
D10,92.1,91.4,86.8,89.1,92.2,90.3,1.0
D50,118.4,133.8,123.6,122.5,124.4,124.5,2.5
D90,236.9,233.5,235.9,267.0,243.4,243.3,6.1
Valid Tracks,1719.0,1463.0,1519.0,1329.0,1387.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,2,0,0,0,
26.5,0,0,0,30,0,6,6,
27.5,0,0,0,210,0,42,42,
28.5,0,0,0,942,0,188,188,
29.5,0,0,0,2798,0,560,560,
30.5,0,0,0,5750,0,1150,1150,
31.5,0,0,0,8520,0,1704,1704,
32.5,0,0,0,9472,0,1894,1894,
33.5,0,0,0,8207,0,1641,1641,
34.5,0,0,0,5750,0,1150,1150,
35.5,0,0,0,3376,0,675,675,
36.5,0,0,0,1721,0,344,344,
