NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,GD14_Pexo_1000_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,18:35:23  22/04/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,GD14_Pexo_1000_00,GD14_Pexo_1000_01,GD14_Pexo_1000_02,GD14_Pexo_1000_03,GD14_Pexo_1000_04,

[Conditions]
Temperature/C,22.831,22.841,22.878,22.858,22.866,
Viscosity/cP,0.934418,0.934199,0.933388,0.933826,0.933651,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,12,12,12,12,
Slider Shutter,1200,1200,1200,1200,1200,
Slider Gain,146,146,146,146,146,
Shutter/ms,30,30,30,30,30,
Camera Histogram Upper Limit,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,11.9492,11.9975,12.2156,11.8831,12.169,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),7.10e+008,6.77e+008,6.82e+008,6.35e+008,5.59e+008,6.53e+008,2.63e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,96.7,90.6,88.6,85.5,69.9,86.3,4.5
Centres per frame,92.1,86.8,85.3,82.2,68.5,83.0,4.0
Completed tracks,4554,4409,4355,3944,3436,
X-Drift (pix/frame),-3.3,-3.3,-3.2,-3.4,-3.0,
Y-Drift (pix/frame),-0.0,0.0,0.0,-0.0,-0.0,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,GD14_Pexo_1000_00,GD14_Pexo_1000_01,GD14_Pexo_1000_02,GD14_Pexo_1000_03,GD14_Pexo_1000_04,Average,Standard Error
Mean,151.8,150.3,142.9,153.3,143.4,148.4,2.2
Mode,113.0,103.6,106.3,118.2,116.3,111.5,2.8
SD,61.5,61.5,49.7,67.1,52.4,58.4,3.2
D10,97.7,96.9,99.9,101.2,94.9,98.1,1.1
D50,140.4,134.0,124.6,129.2,128.2,131.3,2.7
D90,204.1,213.2,192.4,230.3,209.4,209.9,6.2
Valid Tracks,1575.0,1496.0,1514.0,1353.0,1185.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,0,0,0,0,0,0,
34.5,0,0,0,0,0,0,0,
35.5,0,0,0,0,0,0,0,
36.5,0,0,0,0,0,0,0,
37.5,0,0,0,0,0,0,0,
38.5,0,0,0,0,0,0,0,
39.5,0,0,0,0,0,0,0,
40.5,0,0,0,0,0,0,0,
41.5,0,0,0,0,0,0,0,
42.5,0,0,0,0,0,0,0,
43.5,0,0,0,0,0,0,0,
44.5,0,0,0,0,0,0,0,
45.5,2,0,0,0,0,0,0,
46.5,3,0,0,0,0,0,0,
47.5,7,0,0,0,0,1,1,
48.5,13,0,0,0,0,3,3,
49.5,24,0,0,0,0,5,5,
50.5,42,0,0,0,0,8,8,
51.5,72,0,0,0,0,15,14,
52.5,121,0,0,0,2,25,24,
53.5,198,0,0,0,4,40,39,
54.5,317,0,0,0,8,65,63,
55.5,498,0,0,0,15,103,99,
56.5,768,0,0,0,29,159,152,
57.5,1167,0,0,2,54,244,231,
58.5,1750,0,0,3,98,370,345,
59.5,2594,0,0,7,176,555,511,
