NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,GD14_plasmaExo_4000_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,09:34:46  14/05/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,GD14_plasmaExo_4000_00,GD14_plasmaExo_4000_01,GD14_plasmaExo_4000_02,GD14_plasmaExo_4000_03,GD14_plasmaExo_4000_04,

[Conditions]
Temperature/C,21.035,21.047,21.09,21.072,21.084,
Viscosity/cP,0.975196,0.974915,0.973906,0.974328,0.974046,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,12,12,12,12,
Slider Shutter,1200,1200,1200,1200,1200,
Slider Gain,146,146,146,146,146,
Shutter/ms,30,30,30,30,30,
Camera Histogram Upper Limit,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.035,15.5215,15.5596,15.4459,15.6299,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),4.12e+008,3.86e+008,3.44e+008,3.12e+008,2.98e+008,3.50e+008,2.16e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,65.2,60.6,55.2,49.3,46.3,55.3,3.5
Centres per frame,62.6,58.9,53.6,47.9,45.2,53.6,3.3
Completed tracks,3423,3159,2638,2347,2277,
X-Drift (pix/frame),-3.8,-3.4,-3.5,-3.4,-2.8,
Y-Drift (pix/frame),1.5,1.4,1.4,1.1,1.3,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,No,Moderate vibration,No,
Vibration correction applied,Yes,Yes,No,Yes,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,GD14_plasmaExo_4000_00,GD14_plasmaExo_4000_01,GD14_plasmaExo_4000_02,GD14_plasmaExo_4000_03,GD14_plasmaExo_4000_04,Average,Standard Error
Mean,87.7,87.5,88.5,89.2,84.1,87.4,0.9
Mode,65.8,66.8,68.2,83.9,72.9,71.5,3.3
SD,27.3,29.3,27.8,28.8,24.3,27.5,0.9
D10,60.0,61.2,60.0,62.3,62.2,61.1,0.5
D50,78.1,79.0,79.3,82.0,76.2,78.9,0.9
D90,126.7,131.9,126.5,128.4,116.4,126.0,2.6
Valid Tracks,1345.0,1300.0,1098.0,1002.0,900.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,1,0,0,0,0,0,0,
31.5,3,0,0,0,0,0,0,
32.5,5,0,0,0,0,1,1,
33.5,10,0,0,0,0,2,2,
34.5,18,0,2,0,0,4,4,
35.5,34,0,7,0,0,8,7,
36.5,63,0,21,0,0,17,12,
37.5,118,0,59,0,0,35,24,
38.5,223,0,165,0,0,78,48,
39.5,427,2,451,0,0,176,107,
40.5,823,7,1200,0,1,406,254,
41.5,1595,24,3076,0,4,940,616,
42.5,3092,74,7530,1,14,2142,1472,
43.5,5972,224,17424,6,46,4734,3371,
44.5,11455,653,37782,27,144,10012,7273,
45.5,21736,1817,76296,118,431,20080,14631,
