NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,NP_plasmaExo_2000_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,09:41:44  14/05/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,NP_plasmaExo_2000_00,NP_plasmaExo_2000_01,NP_plasmaExo_2000_02,NP_plasmaExo_2000_03,NP_plasmaExo_2000_04,

[Conditions]
Temperature/C,21.287,21.269,21.28,21.322,21.303,
Viscosity/cP,0.969305,0.969724,0.969468,0.968492,0.968933,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,12,12,12,12,
Slider Shutter,1200,1200,1200,1200,1200,
Slider Gain,146,146,146,146,146,
Shutter/ms,30,30,30,30,30,
Camera Histogram Upper Limit,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,14.9598,15.1552,14.6668,15.2087,14.3992,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.88e+008,2.05e+008,1.51e+008,1.44e+008,1.21e+008,1.62e+008,1.52e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,28.9,31.4,24.2,22.3,20.4,25.5,2.0
Centres per frame,29.3,31.3,24.5,22.8,20.7,25.7,2.0
Completed tracks,1341,1436,1133,1098,826,
X-Drift (pix/frame),-3.7,-3.6,-4.1,-3.6,-4.1,
Y-Drift (pix/frame),1.1,1.1,1.3,1.1,1.2,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,No,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,No,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,NP_plasmaExo_2000_00,NP_plasmaExo_2000_01,NP_plasmaExo_2000_02,NP_plasmaExo_2000_03,NP_plasmaExo_2000_04,Average,Standard Error
Mean,96.1,94.7,98.9,89.9,105.7,97.1,2.6
Mode,67.5,66.2,78.8,75.2,83.8,74.3,3.3
SD,32.3,33.7,46.5,24.8,43.0,36.1,3.9
D10,65.3,62.1,67.4,69.8,72.9,67.5,1.8
D50,92.5,86.0,88.0,79.1,86.9,86.5,2.2
D90,169.9,131.9,120.7,119.3,156.6,139.7,10.1
Valid Tracks,584.0,641.0,472.0,455.0,361.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,5,0,0,0,0,
27.5,0,0,35,0,0,7,7,
28.5,0,0,180,0,0,36,36,
29.5,0,0,714,0,0,143,143,
30.5,0,0,2197,0,0,439,439,
31.5,0,0,5368,0,0,1074,1074,
32.5,0,0,10666,0,0,2133,2133,
33.5,0,0,17653,0,0,3531,3531,
34.5,0,0,24941,0,0,4988,4988,
35.5,0,0,30839,0,0,6168,6168,
36.5,0,1,34224,0,0,6845,6845,
37.5,0,4,34950,0,0,6991,6990,
38.5,0,14,33658,0,1,6735,6731,
39.5,0,43,31290,0,3,6267,6256,
40.5,0,123,28691,0,10,5765,5732,
41.5,0,326,26451,0,27,5361,5273,
42.5,0,811,24912,0,70,5159,4941,
43.5,0,1888,24263,0,165,5263,4763,
44.5,0,4129,24639,0,368,5827,4767,
45.5,0,8514,26194,0,779,7097,5037,
46.5,0,16610,29163,0,1566,9468,5834,
47.5,0,30773,33906,0,3007,13537,7711,
48.5,0,54330,40949,0,5530,20162,11460,
49.5,0,91728,51021,0,9751,30500,17974,
50.5,0,148577,65087,0,16505,46034,28274,
51.5,0,231535,84365,0,26821,68544,43563,
52.5,0,347967,110315,0,41835,100023,65183,
53.5,7,505276,144605,0,62618,142501,94499,
54.5,62,709883,189034,1,89937,197783,132696,
55.5,439,965857,245423,8,123992,267144,180507,
56.5,2564,1273365,315500,50,164244,351144,237852,
57.5,12283,1627247,400766,266,209404,449993,303321,
58.5,48494,2016162,502384,1204,257644,565178,373424,
59.5,158486,2422735,621077,4638,306973,702782,441885,
60.5,431346,2824959,757031,15261,355700,876859,501094,
61.5,985298,3198792,909811,43159,402822,1107976,550314,
62.5,1907437,3521470,1078257,106031,448259,1412291,609961,
63.5,3166413,3774805,1260398,229317,492908,1784768,715279,
64.5,4568900,3947682,1453375,443015,538549,2190304,868057,
65.5,5817550,4037224,1653434,775832,587695,2574347,1017052,
66.5,6643409,4048460,1856016,1248654,643447,2887997,1100914,
67.5,6919297,3992770,2055970,1869015,709394,3109289,1088668,
68.5,6684582,3885604,2247904,2626900,789570,3246912,991122,
69.5,6088926,3744074,2426639,3491557,888419,3327923,854008,
70.5,5310772,3584886,2587685,4409781,1010733,3380771,744026,
71.5,4498160,3422875,2727677,5307574,1161462,3423550,717831,
