NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,2019-07-07_Combined_exo.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
Remarks,"Created from combined experiments: gd14_Pexo_2000_.nano, gd14_Plasmaexo_1000_.nano, NP_Plasmaexo_1000_.nano"

Filename:,gd14_Pexo_2000_00,gd14_Pexo_2000_01,gd14_Pexo_2000_02,gd14_Pexo_2000_03,gd14_Pexo_2000_04,gd14_Plasmaexo_1000_00,gd14_Plasmaexo_1000_01,gd14_Plasmaexo_1000_02,gd14_Plasmaexo_1000_03,gd14_Plasmaexo_1000_04,NP_Plasmaexo_1000_00,NP_Plasmaexo_1000_01,NP_Plasmaexo_1000_02,NP_Plasmaexo_1000_03,NP_Plasmaexo_1000_04,

[Conditions]
Temperature/C,20.714,20.726,20.738,20.749,20.792,20.967,20.982,21.026,21.009,21.054,20.826,20.839,20.883,20.864,20.877,
Viscosity/cP,0.982783,0.982498,0.982213,0.981952,0.980931,0.976796,0.976443,0.975408,0.975807,0.97475,0.980126,0.979818,0.978777,0.979226,0.978919,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.5941,12.2815,12.261,12.8128,12.9432,15.6119,15.4612,15.4902,16.1797,16.0563,15.0627,15.7592,15.3261,15.6867,15.4125,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,,,,,,,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),7.73e+008,7.13e+008,6.43e+008,6.05e+008,6.16e+008,1.13e+009,1.09e+009,1.01e+009,8.77e+008,8.89e+008,4.91e+008,4.59e+008,3.95e+008,3.78e+008,3.68e+008,6.95e+008,6.64e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Particles per frame,122.1,113.6,98.1,92.4,95.3,216.2,210.0,192.0,166.2,168.0,87.9,82.8,72.2,64.0,62.6,122.9,13.8
Centres per frame,114.5,107.2,97.2,90.4,90.9,169.2,167.9,158.5,142.4,141.7,82.6,79.2,71.8,61.3,61.1,109.1,9.8
Completed tracks,5874,5318,5126,4665,4507,10783,10549,9908,8791,8704,4428,4155,3902,3079,3033,
X-Drift (pix/frame),-3.6,-3.6,-3.5,-3.6,-3.5,-2.3,-2.8,-3.1,-3.3,-3.4,-2.5,-2.3,-2.7,-2.8,-2.9,
Y-Drift (pix/frame),-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Vibration detected,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Settings changed?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Errors (1),,,,,,,,,,,,,,,,
Errors (2),,,,,,,,,,,,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,gd14_Pexo_2000_00,gd14_Pexo_2000_01,gd14_Pexo_2000_02,gd14_Pexo_2000_03,gd14_Pexo_2000_04,gd14_Plasmaexo_1000_00,gd14_Plasmaexo_1000_01,gd14_Plasmaexo_1000_02,gd14_Plasmaexo_1000_03,gd14_Plasmaexo_1000_04,NP_Plasmaexo_1000_00,NP_Plasmaexo_1000_01,NP_Plasmaexo_1000_02,NP_Plasmaexo_1000_03,NP_Plasmaexo_1000_04,Average,Standard Error
Mean,129.3,132.7,124.5,128.2,129.2,81.0,81.9,82.0,82.0,80.2,88.6,83.4,82.8,79.2,78.7,97.6,5.9
Mode,89.0,115.2,88.2,83.0,93.0,66.7,68.8,62.6,66.5,70.5,80.1,63.1,75.2,59.5,60.4,76.1,4.0
