NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,2019-08-26_Pexo_plasma_qEV_conc.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
Remarks,"Created from combined experiments: GD14_pexo_2000_.nano, GD14_plasma_1000_.nano, NP_plasma_1000_.nano"

Filename:,GD14_pexo_2000_00,GD14_pexo_2000_01,GD14_pexo_2000_02,GD14_pexo_2000_03,GD14_pexo_2000_04,GD14_plasma_1000_00,GD14_plasma_1000_01,GD14_plasma_1000_02,GD14_plasma_1000_03,GD14_plasma_1000_04,NP_plasma_1000_00,NP_plasma_1000_01,NP_plasma_1000_02,NP_plasma_1000_03,NP_plasma_1000_04,

[Conditions]
Temperature/C,21.613,21.666,21.657,21.665,21.702,21.22,21.202,21.215,21.258,21.24,20.951,20.961,21.003,20.982,20.992,
Viscosity/cP,0.961768,0.960552,0.960758,0.960574,0.959727,0.970866,0.971286,0.970983,0.96998,0.9704,0.977173,0.976937,0.975949,0.976443,0.976207,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,
Slider Shutter,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1200,1200,1200,1200,1200,
Slider Gain,219,219,219,219,219,219,219,219,219,219,146,146,146,146,146,
Shutter/ms,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30,30,30,30,30,
Camera Histogram Upper Limit,8235,8235,8235,8235,8235,8235,8235,8235,8235,8235,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,11.8518,11.5906,11.6336,11.4764,11.6867,15.2933,15.1921,15.4145,15.4613,15.6315,15.0649,15.1477,14.8483,14.8568,14.9009,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,,,,,,,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.22e+009,1.06e+009,1.08e+009,1.04e+009,1.08e+009,6.80e+008,5.99e+008,5.79e+008,5.37e+008,4.84e+008,4.88e+008,5.36e+008,4.56e+008,4.31e+008,4.48e+008,7.14e+008,7.44e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Particles per frame,196.8,172.8,172.3,166.5,164.5,110.4,99.6,94.9,86.1,79.7,72.1,79.5,66.4,63.2,65.5,112.7,12.3
Centres per frame,182.8,164.6,161.5,158.1,151.2,101.5,92.1,87.9,81.5,74.7,70.5,76.9,65.8,62.0,63.3,106.3,11.3
Completed tracks,10532,9204,8889,8569,8047,5814,4995,4891,4485,3915,3653,4238,3597,3245,3262,
X-Drift (pix/frame),-3.5,-3.7,-3.8,-3.9,-3.7,-4.3,-4.3,-4.1,-4.3,-4.1,-4.5,-4.3,-4.5,-4.3,-4.5,
Y-Drift (pix/frame),-0.1,-0.1,-0.0,-0.0,-0.0,-0.1,-0.1,-0.1,-0.1,-0.0,-0.0,-0.0,-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Vibration detected,Minor vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,No,No,No,No,No,No,No,No,No,No,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,
Settings changed?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Errors (1),,,,,,,,,,,,,,,,
Errors (2),,,,,,,,,,,,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,GD14_pexo_2000_00,GD14_pexo_2000_01,GD14_pexo_2000_02,GD14_pexo_2000_03,GD14_pexo_2000_04,GD14_plasma_1000_00,GD14_plasma_1000_01,GD14_plasma_1000_02,GD14_plasma_1000_03,GD14_plasma_1000_04,NP_plasma_1000_00,NP_plasma_1000_01,NP_plasma_1000_02,NP_plasma_1000_03,NP_plasma_1000_04,Average,Standard Error
Mean,158.9,164.8,160.9,161.3,151.5,84.3,86.2,82.2,85.8,85.5,90.6,94.6,97.5,90.9,91.2,112.4,9.0
