NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,GD14_Pexo_3000_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,12:30:07  10/09/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,GD14_Pexo_3000_00,GD14_Pexo_3000_01,GD14_Pexo_3000_02,GD14_Pexo_3000_03,GD14_Pexo_3000_04,

[Conditions]
Temperature/C,21.172,21.159,21.176,21.224,21.21,
Viscosity/cP,0.971987,0.97229,0.971893,0.970773,0.971099,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,11.2551,11.3782,10.7638,10.9545,10.7561,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),5.11e+008,4.85e+008,4.19e+008,4.14e+008,3.83e+008,4.43e+008,2.39e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,87.7,82.7,73.9,70.3,68.4,76.6,3.7
Centres per frame,89.4,83.3,77.7,73.3,73.2,79.4,3.1
Completed tracks,4178,3817,3598,3457,3271,
X-Drift (pix/frame),-4.1,-3.7,-3.9,-3.8,-3.9,
Y-Drift (pix/frame),-0.0,-0.0,-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,Minor vibration,No,No,No,
Vibration correction applied,No,Yes,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,GD14_Pexo_3000_00,GD14_Pexo_3000_01,GD14_Pexo_3000_02,GD14_Pexo_3000_03,GD14_Pexo_3000_04,Average,Standard Error
