NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,PBS_GD14_Pexo_250_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,16:05:10  23/09/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,PBS_GD14_Pexo_250_00,PBS_GD14_Pexo_250_01,PBS_GD14_Pexo_250_02,PBS_GD14_Pexo_250_03,PBS_GD14_Pexo_250_04,

[Conditions]
Temperature/C,21.437,21.453,21.5,21.486,21.502,
Viscosity/cP,0.965826,0.965456,0.96437,0.964693,0.964324,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.3697,12.0246,12.2288,12.4003,12.0641,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),2.82e+009,2.37e+009,2.34e+009,2.20e+009,1.92e+009,2.33e+009,1.45e+008
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,494.6,411.8,403.5,379.7,328.0,403.5,27.1
Centres per frame,299.0,286.5,279.3,267.3,252.3,276.9,8.0
Completed tracks,19083,18164,17845,16755,15631,
X-Drift (pix/frame),-3.7,-3.5,-3.6,-3.4,-3.6,
Y-Drift (pix/frame),-0.4,-0.4,-0.4,-0.4,-0.4,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,PBS_GD14_Pexo_250_00,PBS_GD14_Pexo_250_01,PBS_GD14_Pexo_250_02,PBS_GD14_Pexo_250_03,PBS_GD14_Pexo_250_04,Average,Standard Error
Mean,135.1,137.9,135.0,137.1,137.9,136.6,0.7
Mode,118.7,111.3,106.5,99.3,102.1,107.6,3.4
SD,43.5,42.4,42.9,44.8,42.8,43.3,0.4
D10,84.9,94.1,91.1,91.1,90.9,90.4,1.5
D50,126.6,123.4,118.8,126.6,128.3,124.7,1.7
D90,191.6,188.9,182.4,200.0,197.5,192.1,3.1
Valid Tracks,5406.0,5056.0,5110.0,4878.0,4553.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,0,0,0,0,0,0,
34.5,0,0,0,0,0,0,0,
35.5,0,0,0,0,0,0,0,
36.5,0,0,0,0,0,0,0,
37.5,0,0,0,0,0,0,0,
38.5,0,0,0,0,0,0,0,
39.5,0,0,0,0,0,0,0,
40.5,0,0,0,0,0,0,0,
41.5,0,0,0,0,0,0,0,
42.5,0,0,0,0,0,0,0,
43.5,2,0,0,0,0,0,0,
44.5,5,0,0,0,0,1,1,
45.5,12,0,0,3,0,3,2,
46.5,29,0,0,12,0,8,6,
47.5,69,0,0,45,0,23,14,
48.5,159,3,0,146,0,62,37,
49.5,354,13,0,417,0,157,94,
50.5,760,53,0,1052,0,373,223,
51.5,1579,185,0,2374,0,828,487,
52.5,3180,567,0,4849,0,1719,979,
53.5,6210,1541,0,9062,0,3363,1824,
54.5,11769,3769,3,15654,2,6239,3187,
55.5,21659,8376,11,25237,7,11058,5314,
56.5,38729,17078,34,38320,22,18837,8620,
57.5,67314,32235,101,55264,61,30995,13822,
58.5,113751,56800,281,76291,162,49457,22086,
59.5,186927,94149,735,101541,404,76751,35116,
60.5,298742,147840,1811,131154,957,116101,55187,
61.5,464357,221329,4219,165374,2159,171488,85131,
62.5,702036,317726,9304,204645,4643,247671,128275,
63.5,1032405,439606,19462,249702,9537,350142,188273,
64.5,1476997,588915,38666,301655,18738,484994,268802,
65.5,2056105,766957,73071,362073,35271,658695,373100,
66.5,2786093,974447,131546,433071,63704,877772,503406,
67.5,3676542,1211600,225948,517420,110567,1148415,660365,
68.5,4727740,1478254,370912,618674,184674,1476051,842543,
69.5,5929033,1773982,582984,741330,297255,1864917,1046152,
70.5,7258491,2098202,879071,891007,461761,2317706,1265093,
71.5,8684069,2450279,1274375,1074655,693264,2835328,1491325,
72.5,10166166,2829606,1780198,1300761,1007424,3416831,1715516,
73.5,11661199,3235671,2402087,1579545,1419092,4059519,1927868,
74.5,13125586,3668113,3138778,1923099,1940707,4759257,2118962,
75.5,14519541,4126767,3982226,2345414,2580724,5510934,2280510,
76.5,15810119,4611687,4918715,2862242,3342323,6309017,2405892,
77.5,16973193,5123174,5930820,3490712,4222624,7148105,2490476,
78.5,17994256,5661782,6999796,4248626,5212548,8023401,2531726,
79.5,18868138,6228323,8107926,5153399,6297348,8931027,2529180,
80.5,19597912,6823868,9240450,6220618,7457713,9868112,2484398,
81.5,20193264,7449741,10386832,7462285,8671256,10832675,2400989,
82.5,20668664,8107517,11541295,8884868,9914181,11823305,2284799,
83.5,21041559,8799022,12702694,10487394,11162888,12838711,2144311,
84.5,21330784,9526327,13873869,12259833,12395336,13877230,1991203,
85.5,21555259,10291755,15060669,14182105,13592070,14936372,1840837,
86.5,21733031,11097873,16270779,16223937,14736847,16012493,1711969,
87.5,21880612,11947479,17512514,18345751,15816894,17100650,1624364,
88.5,22012597,12843580,18793633,20500571,16822856,18194647,1593244,
89.5,22141483,13789333,20120245,22636791,17748508,19287272,1622572,
90.5,22277645,14787955,21495832,24701476,18590333,20370648,1702861,
91.5,22429407,15842583,22920424,26643800,19347041,21436651,1816062,
92.5,22603184,16956078,24389960,28418190,20019079,22477298,1942872,
93.5,22803638,18130750,25895874,29986831,20608191,23485057,2067539,
94.5,23033856,19368024,27424943,31321298,21117049,24453034,2179512,
95.5,23295513,20668012,28959466,32403248,21548956,25375039,2273360,
96.5,23589029,22029034,30477772,33224221,21907626,26245536,2348055,
97.5,23913707,23447077,31955065,33784750,22197031,27059526,2406084,
98.5,24267862,24915246,33364572,34092983,22421300,27812393,2452484,
99.5,24648938,26423225,34678894,34163074,22584653,28499757,2493834,
100.5,25053618,27956837,35871451,34013547,22691365,29117363,2537170,
101.5,25477927,29497750,36917877,33665788,22745733,29661015,2588883,
102.5,25917345,31023415,37797227,33142776,22752056,30126564,2653694,
103.5,26366909,32507316,38492880,32468070,22714609,30509957,2733889,
104.5,26821325,33919579,38993071,31665076,22637612,30807333,2828964,
105.5,27275084,35227985,39291022,30756540,22525198,31015166,2935748,
106.5,27722576,36399359,39384720,29764227,22381376,31130452,3048941,
107.5,28158205,37401283,39276417,28708729,22209998,31150926,3161894,
108.5,28576502,38203999,38971945,27609360,22014719,31075305,3267463,
109.5,28972235,38782351,38479978,26484085,21798977,30903525,3358814,
110.5,29340504,39117542,37811326,25349480,21565971,30636965,3430108,
111.5,29676832,39198542,36978341,24220685,21318652,30278610,3477018,
112.5,29977237,39022956,35994489,23111363,21059727,29833154,3497076,
113.5,30238293,38597251,34874083,22033671,20791668,29306993,3489847,
114.5,30457174,37936324,33632173,20998229,20516738,28708128,3456923,
115.5,30631680,37062447,32284537,20014126,20237017,28045961,3401753,
116.5,30760248,36003737,30847725,19088949,19954436,27331019,3329328,
117.5,30841951,34792312,29339087,18228845,19670816,26574602,3245746,
118.5,30876481,33462349,27776737,17438619,19387901,25788417,3157664,
119.5,30864118,32048210,26179411,16721862,19107391,24984199,3071688,
120.5,30805697,30582816,24566203,16081104,18830967,24173357,2993736,
121.5,30702555,29096347,22956167,15517981,18560314,23366673,2928446,
122.5,30556484,27615339,21367844,15033405,18297122,22574039,2878734,
123.5,30369671,26162159,19818729,14627737,18043095,21804278,2845599,
124.5,30144635,24754830,18324743,14300936,17799928,21065014,2828223,
125.5,29884164,23407145,16899774,14052697,17569295,20362615,2824341,
126.5,29591253,22128979,15555323,13882545,17352813,19702183,2830788,
127.5,29269035,20926746,14300293,13789911,17152007,19087598,2844068,
128.5,28920719,19803925,13140932,13774153,16968261,18521598,2860846,
129.5,28549534,18761602,12080935,13834538,16802772,18005876,2878301,
130.5,28158663,17798989,11121668,13970179,16656498,17541199,2894324,
131.5,27751199,16913899,10262497,14179916,16530102,17127523,2907594,
132.5,27330093,16103163,9501176,14462155,16423898,16764097,2917549,
133.5,26898112,15362976,8834269,14814646,16337798,16449560,2924303,
134.5,26457812,14689178,8257554,15234235,16271265,16182009,2928514,
135.5,26011505,14077482,7766412,15716567,16223264,15959046,2931212,
136.5,25561246,13523638,7356157,16255788,16192227,15777811,2933610,
137.5,25108821,13023560,7022324,16844246,16176020,15634994,2936887,
138.5,24655748,12573414,6760894,17472233,16171933,15526844,2941957,
139.5,24203280,12169671,6568467,18127806,16176676,15449180,2949244,
140.5,23752418,11809142,6442397,18796722,16186406,15397417,2958479,
141.5,23303935,11488993,6380869,19462531,16196772,15366620,2968554,
142.5,22858396,11206747,6382955,20106863,16202992,15351591,2977464,
143.5,22416192,10960273,6448625,20709925,16199964,15346996,2982335,
144.5,21977566,10747774,6578741,21251213,16182406,15347540,2979575,
145.5,21542656,10567767,6774999,21710413,16145028,15348173,2965099,
146.5,21111523,10419056,7039847,22068432,16082727,15344317,2934638,
147.5,20684188,10300715,7376345,22308495,15990806,15332110,2884074,
148.5,20260669,10212057,7787977,22417188,15865188,15308616,2809798,
149.5,19841005,10152611,8278384,22385356,15702627,15271997,2709058,
150.5,19425285,10122098,8851027,22208758,15500895,15221613,2580295,
151.5,19013672,10120401,9508761,21888390,15258921,15158029,2423488,
152.5,18606415,10147542,10253322,21430447,14976882,15082922,2240539,
153.5,18203863,10203653,11084741,20845921,14656231,14998882,2035828,
154.5,17806468,10288941,12000713,20149871,14299649,14909128,1817092,
155.5,17414787,10403661,12995946,19360451,13910936,14817156,1596969,
156.5,17029470,10548077,14061568,18497802,13494844,14726352,1395434,
157.5,16651257,10722416,15184652,17582894,13056857,14639615,1242100,
158.5,16280954,10926827,16347941,16636450,12602952,14559025,1172605,
159.5,15919422,11161321,17529863,15678014,12139342,14485592,1210392,
160.5,15567552,11425711,18704890,14725221,11672226,14419120,1346966,
161.5,15226245,11719548,19844286,13793299,11207570,14358190,1550140,
162.5,14896389,12042043,20917246,12894802,10750918,14300279,1786233,
163.5,14578834,12391986,21892365,12039545,10307244,14241995,2029744,
164.5,14274376,12767669,22739335,11234706,9880859,14179389,2262998,
165.5,13983734,13166795,23430734,10485052,9475357,14108335,2473882,
166.5,13707536,13586404,23943729,9793249,9093604,14024904,2654249,
167.5,13446300,14022798,24261512,9160202,8737756,13925714,2799044,
168.5,13200424,14471488,24374340,8585409,8409313,13808195,2905840,
169.5,12970174,14927153,24280051,8067295,8109179,13670770,2974529,
170.5,12755677,15383636,23984029,7603511,7837736,13512918,3007041,
171.5,12556915,15833975,23498627,7191190,7594926,13335127,3007029,
172.5,12373719,16270466,22842142,6827163,7380320,13138762,2979466,
173.5,12205762,16684786,22037455,6508121,7193186,12925862,2930189,
174.5,12052563,17068154,21110497,6230742,7032554,12698902,2865376,
175.5,11913482,17411547,20088682,5991784,6897256,12460550,2791014,
176.5,11787716,17705954,18999448,5788137,6785969,12213445,2712386,
177.5,11674304,17942670,17869002,5616866,6697243,11960017,2633650,
178.5,11572126,18113606,16721341,5475221,6629519,11702363,2557559,
179.5,11479904,18211616,15577566,5360637,6581137,11442172,2485387,
180.5,11396205,18230800,14455489,5270731,6550349,11180715,2417049,
181.5,11319454,18166780,13369497,5203274,6535315,10918864,2351402,
182.5,11247932,18016931,12330631,5156179,6534107,10657156,2286658,
183.5,11179797,17780533,11346821,5127468,6544708,10395865,2220806,
184.5,11113097,17458846,10423227,5115250,6565015,10135087,2151989,
185.5,11045789,17055107,9562638,5117697,6592846,9874815,2078782,
186.5,10975768,16574419,8765886,5133015,6625951,9615008,2000360,
187.5,10900893,16023572,8032255,5159428,6662032,9355636,1916562,
188.5,10819028,15410787,7359848,5195161,6698763,9096718,1827880,
189.5,10728076,14745399,6745924,5238424,6733826,8838330,1735382,
190.5,10626029,14037511,6187169,5287408,6764940,8580611,1640608,
191.5,10511010,13297630,5679935,5340279,6789913,8323753,1545430,
192.5,10381327,12536311,5220414,5395189,6806675,8067983,1451911,
193.5,10235514,11763828,4804781,5450277,6813333,7813547,1362145,
194.5,10072385,10989880,4429301,5503691,6808207,7560693,1278105,
195.5,9891067,10223357,4090394,5553609,6789878,7309661,1201475,
196.5,9691040,9472160,3784688,5598259,6757215,7060672,1133510,
197.5,9472163,8743083,3509047,5635955,6709404,6813930,1074910,
198.5,9234684,8041756,3260581,5665122,6645965,6569621,1025754,
199.5,8979250,7372631,3036651,5684333,6566752,6327923,985512,
200.5,8706889,6739028,2834865,5692338,6471955,6089015,953133,
201.5,8418996,6143206,2653063,5688096,6362073,5853087,927214,
202.5,8117294,5586459,2489305,5670795,6237893,5620349,906180,
203.5,7803786,5069240,2341855,5639876,6100456,5391043,888471,
204.5,7480706,4591282,2209164,5595044,5951008,5165441,872679,
205.5,7150452,4151724,2089855,5536273,5790962,4943853,857625,
206.5,6815524,3749237,1982702,5463805,5621844,4726622,842400,
207.5,6478454,3382134,1886618,5378138,5445251,4514119,826356,
208.5,6141747,3048476,1800642,5280008,5262800,4306735,809083,
209.5,5807815,2746161,1723921,5170360,5076092,4104870,790366,
210.5,5478925,2472996,1655702,5050324,4886673,3908924,770149,
211.5,5157159,2226765,1595319,4921174,4696003,3719284,748493,
212.5,4844371,2005274,1542185,4784291,4505437,3536312,725544,
213.5,4542169,1806395,1495782,4641124,4316199,3360334,701503,
214.5,4251896,1628089,1455652,4493153,4129380,3191634,676601,
215.5,3974626,1468430,1421391,4341851,3945926,3030445,651088,
216.5,3711172,1325613,1392644,4188648,3766640,2876943,625213,
217.5,3462088,1197968,1369097,4034909,3592182,2731249,599219,
218.5,3227698,1083953,1350470,3881902,3423081,2593421,573334,
219.5,3008108,982160,1336515,3730786,3259739,2463462,547771,
220.5,2803239,891306,1327010,3582592,3102445,2341318,522724,
221.5,2612846,810231,1321751,3438222,2951385,2226887,498366,
222.5,2436553,737887,1320550,3298436,2806656,2120016,474856,
223.5,2273874,673334,1323231,3163861,2668276,2020515,452334,
224.5,2124240,615728,1329619,3034993,2536201,1928156,430927,
225.5,1987022,564317,1339544,2912201,2410329,1842682,410749,
226.5,1861552,518428,1352824,2795740,2290518,1763812,391902,
227.5,1747140,477464,1369271,2685761,2176592,1691246,374478,
228.5,1643091,440893,1388676,2582321,2068348,1624666,358560,
229.5,1548716,408245,1410810,2485395,1965569,1563747,344216,
230.5,1463342,379102,1435415,2394886,1868023,1508153,331501,
231.5,1386321,353095,1462202,2310640,1775475,1457546,320449,
232.5,1317035,329897,1490843,2232451,1687690,1411583,311073,
233.5,1254902,309221,1520971,2160073,1604434,1369920,303354,
234.5,1199373,290812,1552175,2093229,1525480,1332214,297241,
235.5,1149940,274448,1584003,2031614,1450607,1298122,292648,
236.5,1106132,259931,1615957,1974904,1379606,1267306,289452,
237.5,1067513,247090,1647503,1922760,1312279,1239429,287495,
238.5,1033685,235775,1678068,1874833,1248437,1214159,286591,
239.5,1004283,225854,1707056,1830766,1187904,1191173,286531,
240.5,978974,217213,1733852,1790200,1130516,1170151,287091,
241.5,957452,209755,1757834,1752772,1076120,1150787,288044,
242.5,939440,203397,1778389,1718123,1024573,1132784,289161,
243.5,924682,198069,1794930,1685893,975744,1115863,290224,
244.5,912943,193710,1806907,1655730,929509,1099760,291030,
245.5,904007,190276,1813828,1627291,885755,1084231,291398,
246.5,897670,187728,1815274,1600240,844376,1069058,291169,
247.5,893743,186039,1810913,1574254,805272,1054044,290214,
248.5,892043,185192,1800513,1549029,768351,1039026,288433,
249.5,892397,185179,1783951,1524275,733524,1023865,285755,
250.5,894632,185999,1761220,1499728,700710,1008458,282144,
251.5,898581,187661,1732432,1475146,669829,992730,277592,
252.5,904073,190184,1697812,1450315,640806,976638,272123,
253.5,910937,193593,1657696,1425055,613571,960170,265787,
254.5,918998,197925,1612517,1399215,588054,943342,258658,
255.5,928074,203225,1562795,1372684,564188,926193,250834,
256.5,937980,209546,1509117,1345383,541911,908787,242425,
257.5,948521,216953,1452123,1317272,521161,891206,233559,
258.5,959498,225520,1392483,1288350,501877,873545,224368,
259.5,970704,235331,1330880,1258646,484003,855913,214989,
260.5,981927,246483,1267992,1228228,467484,838423,205555,
261.5,992952,259082,1204474,1197189,452266,821193,196196,
262.5,1003558,273246,1140945,1165653,438298,804340,187028,
263.5,1013528,289102,1077976,1133763,425533,787980,178155,
264.5,1022643,306790,1016077,1101681,413922,772223,169665,
265.5,1030692,326460,955699,1069581,403423,757171,161629,
266.5,1037471,348270,897222,1037645,393994,742920,154099,
267.5,1042787,372387,840958,1006057,385595,729557,147115,
268.5,1046463,398981,787155,975000,378189,717158,140705,
269.5,1048339,428227,735995,944649,371743,705791,134895,
270.5,1048276,460300,687601,915174,366223,695515,129714,
271.5,1046160,495366,642044,886728,361600,686380,125203,
272.5,1041901,533585,599348,859454,357846,678427,121427,
273.5,1035438,575095,559495,833477,354935,671688,118478,
274.5,1026740,620012,522436,808907,352844,666188,116479,
275.5,1015803,668415,488093,785837,351548,661939,115581,
276.5,1002655,720341,456366,764342,351028,658946,115945,
277.5,987350,775769,427141,744486,351262,657202,117729,
278.5,969971,834611,400292,726314,352231,656684,121054,
279.5,950625,896698,375685,709860,353916,657357,125989,
280.5,929443,961766,353183,695145,356295,659167,132527,
281.5,906573,1029448,332651,682179,359350,662040,140590,
282.5,882181,1099257,313953,670961,363056,665882,150030,
283.5,856445,1170580,296957,661484,367391,670572,160647,
284.5,829552,1242674,281538,653729,372327,675964,172193,
285.5,801694,1314657,267574,647672,377834,681886,184394,
286.5,773065,1385516,254953,643278,383879,688138,196950,
287.5,743859,1454115,243567,640505,390422,694493,209544,
288.5,714264,1519206,233316,639302,397418,700701,221848,
289.5,684461,1579460,224109,639607,404818,706491,233531,
290.5,654622,1633488,215859,641345,412562,711575,244258,
291.5,624909,1679886,208487,644426,420586,715659,253706,
292.5,595470,1717280,201921,648744,428817,718446,261566,
293.5,566438,1744375,196093,654174,437170,719650,267556,
294.5,537936,1760009,190942,660565,445556,719001,271433,
295.5,510067,1763214,186410,667742,453873,716261,272999,
296.5,482923,1753266,182445,675502,462012,711230,272118,
297.5,456580,1729740,178998,683608,469854,703756,268722,
298.5,431101,1692545,176024,691790,477273,693747,262820,
299.5,406536,1641957,173482,699744,484135,681171,254505,
300.5,382921,1578631,171331,707132,490300,666063,243956,
301.5,360283,1503596,169536,713583,495627,648525,231438,
302.5,338638,1418231,168061,718700,499969,628719,217297,
303.5,317990,1324224,166872,722064,503182,606866,201949,
304.5,298339,1223510,165939,723248,505126,583232,185871,
305.5,279676,1118196,165231,721825,505666,558119,169577,
306.5,261986,1010472,164719,717388,504680,531849,153599,
307.5,245248,902526,164374,709565,502056,504754,138452,
308.5,229439,796447,164170,698041,497704,477160,124596,
309.5,214529,694140,164081,682578,491552,449376,112387,
310.5,200489,597263,164080,663034,483553,421684,102028,
311.5,187286,507160,164145,639384,473689,394333,93523,
312.5,174886,424836,164251,611729,461971,367534,86680,
313.5,163254,350939,164376,580308,448440,341464,81148,
314.5,152354,285768,164500,545501,433175,316260,76500,
315.5,142151,229302,164604,507816,416282,292031,72332,
316.5,132610,181241,164669,467878,397902,268860,68322,
