NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,ProK_GD14_Pexo_250_.nano
Sample Name,""
Operator Name,"SN"
Time Captured,15:54:43  23/09/2019
Pre-treatment,""
Diluent,"PBS"
Remarks,"installation with 488 laser  in PBS no  filter"

Filename:,ProK_GD14_Pexo_250_00,ProK_GD14_Pexo_250_01,ProK_GD14_Pexo_250_02,ProK_GD14_Pexo_250_03,ProK_GD14_Pexo_250_04,

[Conditions]
Temperature/C,21.169,21.189,21.239,21.226,21.244,
Viscosity/cP,0.972057,0.97159,0.970423,0.970726,0.970307,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.48,31.48,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,3,3,3,3,3,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.6,12.4436,12.3001,12.3795,12.3567,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),2.58e+008,2.04e+008,2.41e+008,1.97e+008,2.07e+008,2.22e+008,1.18e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,46.4,37.9,43.2,36.3,38.4,40.5,1.9
Centres per frame,53.9,45.5,48.9,43.3,45.4,47.4,1.9
Completed tracks,2445,2181,2232,2052,2022,
X-Drift (pix/frame),-3.9,-3.9,-3.9,-3.8,-3.9,
Y-Drift (pix/frame),-0.3,-0.4,-0.3,-0.3,-0.3,

[Concentration Warnings]
Validity of concentration measurement,OK,Be cautious of data due to noise,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,Noise detected,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,Noise detected,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,ProK_GD14_Pexo_250_00,ProK_GD14_Pexo_250_01,ProK_GD14_Pexo_250_02,ProK_GD14_Pexo_250_03,ProK_GD14_Pexo_250_04,Average,Standard Error
Mean,140.1,142.0,135.4,153.0,144.8,143.1,2.9
Mode,75.2,74.8,73.3,76.6,77.7,75.5,0.8
SD,84.5,78.3,75.5,87.8,72.6,79.7,2.8
D10,71.9,70.7,70.5,74.0,75.8,72.6,1.0
D50,117.2,107.7,109.6,111.0,115.6,112.2,1.8
D90,288.3,264.8,265.3,310.2,281.4,282.0,8.4
Valid Tracks,801.0,663.0,799.0,623.0,606.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,2,0,0,0,0,0,
34.5,0,5,0,0,0,0,0,
35.5,0,12,0,0,0,2,2,
36.5,0,30,0,0,0,6,6,
37.5,0,77,0,0,0,15,15,
38.5,0,199,0,0,0,40,40,
39.5,0,499,0,0,0,100,100,
40.5,0,1200,0,0,0,240,240,
41.5,0,2727,0,0,0,545,545,
42.5,0,5789,0,0,0,1158,1158,
43.5,0,11380,0,0,0,2276,2276,
44.5,0,20613,0,0,0,4123,4123,
45.5,0,34354,0,0,0,6871,6871,
46.5,0,52767,0,0,0,10554,10553,
47.5,0,75046,1,0,0,15010,15009,
48.5,0,99523,4,2,0,19906,19904,
49.5,0,124184,13,5,0,24840,24836,
50.5,0,147326,40,14,1,29476,29462,
51.5,0,168065,114,37,4,33644,33605,
52.5,0,186503,305,93,14,37383,37280,
53.5,0,203622,767,221,42,40930,40673,
54.5,0,221032,1831,502,107,44694,44086,
55.5,2,240753,4160,1093,245,49251,47881,
56.5,17,265108,9022,2284,512,55389,52455,
57.5,106,296732,18734,4597,982,64230,58222,
58.5,558,338678,37321,8926,1758,77448,65646,
59.5,2467,394552,71414,16753,2984,97634,75301,
60.5,9222,468599,131304,30441,4886,128890,87977,
61.5,29363,565661,231863,53608,7840,177667,104810,
62.5,80408,690888,392770,91541,12511,253624,127470,
63.5,191469,849094,637177,151570,20090,369880,158577,
64.5,401193,1043713,987938,243212,32734,541758,202365,
65.5,748831,1275424,1461066,377840,54341,783500,264435,
66.5,1260210,1540735,2057353,567550,91879,1103545,349012,
67.5,1934456,1830988,2754819,823007,157474,1500149,454619,
68.5,2737837,2132335,3505732,1150283,271267,1959491,571466,
69.5,3607815,2427024,4241289,1547187,464241,2457511,682195,
70.5,4465678,2695917,4884253,2000138,778678,2964933,765472,
71.5,5232950,2921649,5366002,2482946,1261862,3453081,801630,
72.5,5846347,3091535,5642001,2958696,1948250,3897365,780122,
73.5,6267512,3199392,5700172,3385040,2830289,4276481,708426,
74.5,6486055,3245863,5559877,3721878,3829652,4568665,619350,
75.5,6516468,3237358,5263213,3939274,4791930,4749648,562624,
76.5,6390911,3184139,4862838,4023123,5523533,4796909,560042,
77.5,6150407,3098190,4410668,3976887,5862918,4699814,575694,
78.5,5836733,2991382,3950163,3819160,5747590,4469006,564815,
79.5,5486487,2874218,3512881,3578306,5235156,4137409,515914,
80.5,5127797,2755182,3118467,3286137,4468390,3751195,448222,
81.5,4779394,2640576,2776678,2972449,3611745,3356168,392811,
82.5,4451309,2534689,2490134,2661483,2797590,2987041,369966,
83.5,4146467,2440118,2256951,2370491,2102921,2663390,375132,
84.5,3862599,2358136,2072814,2109975,1553660,2391437,390387,
85.5,3594169,2289019,1932409,1884902,1142148,2168530,402282,
86.5,3334186,2232323,1830280,1696270,845044,1987621,405478,
87.5,3075863,2187070,1761243,1542590,635695,1840492,399551,
88.5,2814066,2151889,1720503,1421065,490468,1719598,386304,
89.5,2546416,2125091,1703581,1328432,390874,1618879,368518,
90.5,2273847,2104722,1706141,1261472,323498,1533936,349451,
91.5,2000481,2088604,1723788,1217301,279090,1461853,332437,
92.5,1732792,2074373,1751904,1193483,251536,1400818,320233,
93.5,1478269,2059547,1785565,1188047,237010,1349688,314213,
94.5,1243940,2041613,1819597,1199440,233354,1307589,313901,
95.5,1035163,2018158,1848784,1226452,239680,1273647,317275,
96.5,854956,1987017,1868220,1268119,256152,1246893,321672,
97.5,703941,1946449,1873764,1323627,283895,1226335,324676,
98.5,580749,1895290,1862492,1392206,324999,1211147,324634,
99.5,482690,1833086,1833046,1473022,382593,1200887,320840,
100.5,406431,1760153,1785795,1565071,460927,1195675,313536,
101.5,348563,1677574,1722747,1667066,565432,1196276,303895,
102.5,305990,1587098,1647230,1777324,702649,1204058,294083,
103.5,276145,1490979,1563422,1893664,879941,1220830,287375,
104.5,257085,1391761,1475818,2013311,1104851,1248565,288156,
105.5,247523,1292052,1388757,2132837,1383989,1289032,301307,
106.5,246818,1194312,1306067,2248137,1721412,1343349,330723,
107.5,254984,1100689,1230866,2354488,2116582,1411522,377699,
