NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,GD14_Pexo_ProK_titration_combined.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
Remarks,"Created from combined experiments: GD14_Pexo_ProK001ugml_250_.nano, GD14_Pexo_ProK01ugml_250_.nano, GD14_Pexo_ProK1ugml_125_.nano, GD14_Pexo_ProK10ugml_125_.nano, GD14_Pexo_PBS_250_.nano"

Filename:,GD14_Pexo_ProK001ugml_250_00,GD14_Pexo_ProK001ugml_250_01,GD14_Pexo_ProK001ugml_250_02,GD14_Pexo_ProK001ugml_250_03,GD14_Pexo_ProK001ugml_250_04,GD14_Pexo_ProK01ugml_250_00,GD14_Pexo_ProK01ugml_250_01,GD14_Pexo_ProK01ugml_250_02,GD14_Pexo_ProK01ugml_250_03,GD14_Pexo_ProK01ugml_250_04,GD14_Pexo_ProK1ugml_125_00,GD14_Pexo_ProK1ugml_125_01,GD14_Pexo_ProK1ugml_125_02,GD14_Pexo_ProK1ugml_125_03,GD14_Pexo_ProK1ugml_125_04,GD14_Pexo_ProK10ugml_125_00,GD14_Pexo_ProK10ugml_125_01,GD14_Pexo_ProK10ugml_125_02,GD14_Pexo_ProK10ugml_125_03,GD14_Pexo_ProK10ugml_125_04,GD14_Pexo_PBS_250_00,GD14_Pexo_PBS_250_01,GD14_Pexo_PBS_250_02,GD14_Pexo_PBS_250_03,GD14_Pexo_PBS_250_04,

[Conditions]
Temperature/C,21.712,21.7,21.716,21.761,21.745,21.395,21.41,21.455,21.439,21.453,21.183,21.197,21.241,21.225,21.239,21.028,21.012,21.028,21.072,21.056,20.679,20.662,20.676,20.721,20.705,
Viscosity/cP,0.959498,0.959772,0.959406,0.958377,0.958743,0.966798,0.96645,0.965409,0.965779,0.965456,0.97173,0.971403,0.970376,0.970749,0.970423,0.975361,0.975737,0.975361,0.974328,0.974703,0.983616,0.984021,0.983688,0.982617,0.982997,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Slider Shutter,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
Slider Gain,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,
Shutter/ms,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
Camera Histogram Upper Limit,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,11529,
Camera Histogram Lower Limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,

[Settings]
Detection Threshold,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,10.7361,10.4351,10.5015,10.5514,10.4349,10.897,10.796,10.9792,10.7883,10.781,11.3562,10.9591,11.0724,10.865,10.8766,11.7601,11.3907,12.2893,12.613,11.6683,11.2894,11.0848,11.1304,11.002,10.9218,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,,,,,,,,,,,,,,,,,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.57e+009,1.44e+009,1.43e+009,1.29e+009,1.22e+009,1.64e+009,1.47e+009,1.37e+009,1.36e+009,1.21e+009,1.71e+009,1.58e+009,1.60e+009,1.60e+009,1.44e+009,2.78e+008,2.50e+008,1.99e+008,2.47e+008,2.09e+008,1.30e+009,1.23e+009,1.29e+009,1.24e+009,1.22e+009,1.18e+009,1.00e+008
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Particles per frame,269.1,240.8,242.3,217.0,203.1,267.0,244.7,224.0,222.1,203.8,296.8,279.5,276.1,272.5,249.3,47.8,44.5,35.9,41.9,35.9,205.6,196.7,199.1,198.2,188.2,196.1,16.9
Centres per frame,246.7,223.6,223.0,205.1,195.3,238.8,225.8,210.1,208.5,194.5,278.9,270.1,260.5,260.5,245.6,54.2,54.3,48.8,47.0,41.3,194.1,187.5,186.3,187.1,180.4,186.7,15.1
Completed tracks,14798,12912,12634,11282,10672,13696,12589,11691,11434,10477,17049,16380,15517,15602,14455,2421,2583,2351,2006,1830,10837,10361,10076,10027,9659,
X-Drift (pix/frame),-1.4,-2.7,-2.6,-3.3,-3.2,-3.8,-3.8,-3.8,-3.8,-3.9,-4.1,-3.7,-3.6,-3.8,-3.9,-3.9,-4.0,-3.8,-3.8,-3.8,-4.1,-4.0,-3.9,-3.8,-3.7,
Y-Drift (pix/frame),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.0,0.2,0.2,0.1,0.1,0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Be cautious of data due to noise,Be cautious of data due to noise,OK,OK,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Noise detected,Noise detected,No,No,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Noise detected,Noise detected,No,No,No,No,No,No,No,
Vibration detected,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Settings changed?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Errors (1),,,,,,,,,,,,,,,,,,,,,,,,,,
Errors (2),,,,,,,,,,,,,,,,,,,,,,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,GD14_Pexo_ProK001ugml_250_00,GD14_Pexo_ProK001ugml_250_01,GD14_Pexo_ProK001ugml_250_02,GD14_Pexo_ProK001ugml_250_03,GD14_Pexo_ProK001ugml_250_04,GD14_Pexo_ProK01ugml_250_00,GD14_Pexo_ProK01ugml_250_01,GD14_Pexo_ProK01ugml_250_02,GD14_Pexo_ProK01ugml_250_03,GD14_Pexo_ProK01ugml_250_04,GD14_Pexo_ProK1ugml_125_00,GD14_Pexo_ProK1ugml_125_01,GD14_Pexo_ProK1ugml_125_02,GD14_Pexo_ProK1ugml_125_03,GD14_Pexo_ProK1ugml_125_04,GD14_Pexo_ProK10ugml_125_00,GD14_Pexo_ProK10ugml_125_01,GD14_Pexo_ProK10ugml_125_02,GD14_Pexo_ProK10ugml_125_03,GD14_Pexo_ProK10ugml_125_04,GD14_Pexo_PBS_250_00,GD14_Pexo_PBS_250_01,GD14_Pexo_PBS_250_02,GD14_Pexo_PBS_250_03,GD14_Pexo_PBS_250_04,Average,Standard Error
Mean,194.8,195.0,196.1,192.6,194.4,181.5,192.7,189.3,186.6,194.0,176.7,185.0,188.0,182.3,185.5,162.6,175.4,168.8,162.9,164.8,174.3,174.5,168.6,175.2,172.5,181.4,2.2
