particle_size,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,0,23,0,0,0,0,0
38.5,0,0,0,0,0,0,388,0,0,0,0,0
39.5,0,0,0,0,0,0,3168,0,0,0,0,0
40.5,0,0,0,0,0,0,13161,0,0,0,0,0
41.5,0,0,0,0,0,0,29485,0,0,0,0,0
42.5,0,0,0,0,0,0,37768,0,0,0,0,0
43.5,0,0,0,0,0,0,29350,0,0,0,0,0
44.5,0,0,0,0,0,0,14694,0,0,0,0,0
45.5,0,0,0,0,0,19,5039,0,0,0,0,0
46.5,0,0,0,0,0,441,1260,0,0,0,0,0
47.5,0,0,0,0,0,4890,245,0,0,0,0,0
48.5,0,0,0,0,0,27508,39,0,0,0,0,0
49.5,0,0,0,0,0,83683,6,0,0,0,0,1
50.5,0,0,0,0,0,147743,0,0,0,0,0,7
51.5,0,0,0,0,0,163333,0,0,0,0,0,50
52.5,0,0,0,0,0,122439,0,0,0,0,0,324
53.5,0,0,0,0,0,67506,0,0,0,0,0,1834
54.5,0,0,1,1,0,29674,0,0,0,0,0,8525
55.5,0,0,5,3,0,11238,0,0,0,0,0,31034
56.5,0,0,14,6,0,3939,0,0,0,0,0,85569
57.5,0,0,42,12,0,1362,0,0,0,0,0,175808
58.5,0,0,113,25,0,489,0,0,0,0,0,269130
59.5,0,0,281,50,0,191,0,0,0,3,0,311630
60.5,0,0,651,101,0,83,0,0,0,13,0,280818
61.5,0,1,1391,198,0,41,0,0,0,49,1,204851
62.5,0,4,2742,383,0,23,0,0,0,165,3,126861
63.5,0,11,4975,724,0,15,0,0,0,499,9,70297
64.5,0,31,8308,1336,0,11,0,0,0,1366,24,36802
65.5,0,83,12783,2402,0,10,0,0,0,3396,60,19191
66.5,0,216,18179,4205,0,9,0,0,5,7710,144,10462
67.5,0,542,24018,7167,0,10,0,0,28,16079,339,6212
68.5,0,1301,29688,11888,0,11,0,0,124,31003,774,4149
69.5,0,2980,34646,19206,0,14,0,0,472,55638,1720,3186
70.5,0,6497,38581,30247,0,19,0,0,1558,93612,3720,2844
71.5,2,13466,41490,46498,0,29,0,0,4482,148782,7825,2955
72.5,7,26530,43646,69874,0,46,4,0,11347,225091,15990,3545
73.5,26,49721,45504,102808,0,80,21,2,25585,326631,31680,4841
74.5,93,88790,47625,148353,0,148,94,12,52022,457961,60724,7375
75.5,317,151438,50635,210286,0,291,400,57,96629,624657,112362,12258
76.5,1028,247404,55264,293237,0,604,1561,253,166067,833980,200292,21706
77.5,3142,388389,62442,402802,0,1313,5533,1023,267294,1095608,343349,40010
78.5,9029,587812,73483,545637,0,2951,17692,3752,407457,1422291,565337,75155
79.5,24315,860391,90381,729491,2,6769,50864,12455,594127,1830379,893534,141206
80.5,61148,1221507,116267,963138,15,15633,131365,37386,835807,2340065,1355740,261283
81.5,143224,1686265,156132,1256145,84,35832,305348,101515,1142524,2975201,1976191,470345
82.5,311816,2268152,217923,1618428,434,80361,641323,249786,1526353,3762406,2771245,816285
83.5,630323,2977247,314140,2059537,2027,174016,1224011,558510,2001742,4729218,3745990,1357497
84.5,1183003,3818007,463979,2587642,8491,359523,2137530,1138920,2585511,5901006,4892720,2155627
85.5,2063447,4786836,695853,3208267,31617,701574,3441755,2127159,3296436,7296555,6191668,3263899
86.5,3351544,5869827,1049637,3922837,104017,1282869,5150618,3655801,4154233,8922528,7613573,4713557
87.5,5083788,7041192,1577291,4727223,301193,2185839,7221256,5810041,5177777,10767453,9123154,6502336
88.5,7227602,8262966,2339752,5610517,766414,3459219,9557932,8581474,6382332,12796370,10682368,8588628
89.5,9671482,9486419,3397770,6554301,1714941,5079971,12028170,11837936,7775634,14947593,12252635,10893062
90.5,12237373,10655350,4795505,7532667,3383957,6930949,14484442,15324658,9352851,17133057,13795649,13306740
91.5,14712423,11710998,6538735,8513145,5916548,8812800,16784524,18700963,11090770,19243220,15272963,15703499
92.5,16889390,12597896,8573792,9458571,9226137,10491739,18806269,21603295,12942077,21156535,16644890,17953068
93.5,18602696,13269731,10776623,10329748,12935008,11763802,20455675,23716087,14831227,22752382,17869472,19932679
94.5,19750651,13694175,12960648,11088606,16455694,12506789,21669400,24830392,16653880,23925278,18902289,21535972
95.5,20300883,13855905,14906053,11701443,19189289,12699827,22413719,24875831,18281986,24597760,19697720,22679146
96.5,20281754,13757375,16403859,12141831,20731354,12409182,22681730,23920815,19575859,24729481,20211955,23304974
97.5,19765638,13417395,17300681,12392793,20977723,11753829,22489973,22145295,20402861,24320973,20407613,23385366
98.5,18849988,12867964,17529039,12447992,20098141,10868167,21874941,19796582,20659941,23411710,20259342,22922809
99.5,17640557,12150034,17114214,12311846,18423458,9874006,20889486,17140909,20294923,22073303,19759271,21950547
100.5,16238896,11308959,16158242,11998606,16318942,8865836,19598953,14421787,19320468,20399482,18921000,20530992
101.5,14734561,10390275,14809567,11530607,14094573,7907442,18076898,11832079,17815774,18494843,17780857,18751758
102.5,13201342,9436270,13229664,10935952,11966276,7035545,16400429,9501840,15914481,16464173,16395744,16718993
103.5,11696438,8483564,11565876,10245962,10056483,6266351,14645414,7499852,13781606,14403706,14837658,14548286
104.5,10261473,7561752,9934962,9492671,8414797,5602283,12881965,5844336,11585793,12394994,13185858,12354130
105.5,8924496,6692966,8417368,8706634,7043262,5037550,11170652,4517789,9474245,10501559,11518254,10239498
106.5,7702344,5892186,7059470,7915205,5917870,4562176,9559839,3481771,7555983,8768024,9903685,8287275
107.5,6602996,5168048,5880207,7141382,5003643,4164624,8084366,2689040,5895715,7221168,8396445,6554943
108.5,5627718,4523934,4879076,6403217,4263747,3833352,6765599,2092040,4517085,5872285,7033664,5073208
109.5,4772918,3959165,4043515,5713743,3664223,3557619,5612656,1647884,3411947,4720243,5835454,3848318
110.5,4031677,3470154,3354747,5081300,3175943,3327836,4624459,1320586,2551772,3754728,4807160,2867086
111.5,3394988,3051429,2791876,4510137,2775002,3135645,3792243,1081477,1898165,2959335,3942800,2103216
112.5,2852721,2696483,2334459,4001170,2442361,2973858,3102106,908594,1410828,2314243,3228822,1523586
113.5,2394355,2398428,1963907,3552776,2163184,2836343,2537334,785642,1052571,1798380,2647525,1093487
114.5,2009513,2150476,1664094,3161557,1926118,2717901,2080292,700879,791783,1391027,2179782,780339
115.5,1688329,1946253,1421465,2822995,1722622,2614141,1713823,646116,603100,1072911,1806955,555831
116.5,1421693,1779990,1224882,2531991,1546369,2521391,1422153,615904,467010,826852,1512062,396768
117.5,1201376,1646614,1065332,2283281,1392747,2436615,1191381,606922,368962,638051,1280360,285006
