particle_size,qEV6_mGWT16_20_no_00,qEV6_mGWT16_20_no_01,qEV6_mGWT16_20_no_02,qEV8_mGWT16_20_no_00,qEV8_mGWT16_20_no_01,qEV8_mGWT16_20_no_02,qEV7_mGWT16_20_no_00,qEV7_mGWT16_20_no_01,qEV7_mGWT16_20_no_02,TEI_mGWT16_500_no_00,TEI_mGWT16_500_no_01,TEI_mGWT16_500_no_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,1,0,0,0,0
25.5,0,0,0,0,0,0,0,16,0,0,0,0
26.5,0,0,0,0,0,0,0,138,0,0,0,0
27.5,0,0,0,0,0,0,0,767,0,0,0,0
28.5,0,0,0,0,0,0,0,2813,0,0,0,0
29.5,0,0,0,0,0,0,0,7084,0,0,0,0
30.5,0,0,0,0,0,0,0,12675,0,0,0,0
31.5,0,0,0,0,0,0,0,16642,0,0,0,0
32.5,0,0,0,0,0,0,0,16533,0,0,0,0
33.5,0,0,0,0,0,0,0,12803,0,0,0,0
34.5,0,0,0,0,0,0,1,7955,0,0,0,0
35.5,0,0,0,0,0,0,5,4082,0,0,0,0
36.5,0,0,0,0,0,0,18,1781,0,0,0,0
37.5,0,0,0,2,0,0,59,680,0,0,0,0
38.5,0,0,2,6,0,0,166,235,0,0,0,0
39.5,0,0,11,21,0,0,408,75,0,0,0,0
40.5,0,0,42,58,0,0,879,23,1,0,0,0
41.5,0,0,146,139,0,0,1679,7,4,0,0,0
42.5,0,0,446,290,0,0,2858,2,13,0,0,0
43.5,0,0,1207,529,0,0,4371,0,39,0,0,12
44.5,0,0,2913,864,0,0,6053,0,110,0,0,119
45.5,0,0,6292,1274,0,0,7654,0,296,2,0,839
46.5,0,0,12227,1721,0,0,8913,0,752,5,0,4260
47.5,0,0,21496,2158,0,0,9643,0,1804,14,0,15948
48.5,0,0,34395,2541,0,0,9782,0,4069,40,0,45178
49.5,0,0,50402,2845,0,0,9390,0,8607,109,0,99965
50.5,0,0,68087,3061,0,0,8612,0,17005,289,0,178907
51.5,0,0,85364,3199,2,0,7620,0,31264,743,2,268543
52.5,4,4,100019,3277,5,0,6569,0,53299,1854,19,350519
53.5,22,19,110296,3320,12,0,5570,0,84044,4470,122,411931
54.5,89,87,115294,3349,32,0,4691,0,122431,10385,644,450204
55.5,308,331,115065,3386,81,0,3961,2,164867,23189,2809,471077
56.5,917,1080,110431,3445,202,0,3382,5,205769,49596,10185,483913
57.5,2359,3050,102645,3542,484,3,2945,15,239182,101264,30971,498155
58.5,5313,7504,93048,3689,1112,8,2635,41,260765,196701,80005,522040
59.5,10581,16220,82821,3898,2433,26,2438,111,269112,362265,178315,562901
60.5,18827,31065,72854,4183,5037,78,2344,291,265809,630662,348912,628162
61.5,30233,53171,63725,4561,9819,220,2352,718,254426,1035284,610347,726394
62.5,44279,82044,55740,5052,17976,596,2469,1666,239133,1600086,971713,868092
63.5,59785,115144,49006,5684,30854,1556,2714,3609,223622,2327323,1431726,1065887
64.5,75244,148310,43503,6495,49647,3902,3123,7302,210610,3188211,1981443,1333819
65.5,89300,176931,39143,7537,74979,9372,3753,13821,201832,4122058,2607994,1685253
66.5,101127,197320,35810,8883,106536,21472,4697,24568,198301,5046292,3296846,2129246
67.5,110587,207654,33387,10634,142909,46627,6092,41202,200608,5874503,4031636,2665759
68.5,118159,208155,31772,12934,181761,95283,8147,65530,209131,6535552,4792120,3281060
69.5,124731,200616,30886,15988,220303,181886,11162,99330,224131,6986671,5551567,3945410
70.5,131381,187610,30672,20084,255906,322127,15565,144104,245707,7217083,6275144,4614995
71.5,139218,171751,31094,25628,286641,526397,21941,200745,273636,7243146,6920575,5238606
72.5,149287,155218,32139,33189,311593,790888,31057,269096,307146,7098867,7441788,5767429
73.5,162514,139558,33804,43550,330884,1091288,43865,347465,344695,6825878,7795291,6164637
74.5,179628,125710,36098,57766,345490,1385009,61475,432243,383843,6465567,7948000,6411528
75.5,201002,114128,39033,77214,356940,1623686,85069,517830,421341,6054289,7884344,6508558
76.5,226370,104945,42609,103614,367022,1770308,115780,597110,453483,5621327,7610409,6471837
77.5,254422,98105,46809,138974,377559,1811408,154527,662546,476692,5188734,7153634,6327097
78.5,282385,93462,51583,185434,390277,1758218,201852,707702,488196,4772179,6558046,6103415
79.5,305847,90845,56834,244943,406750,1638167,257789,728723,486590,4382163,5876454,5828260
80.5,319197,90081,62407,318785,428397,1483153,321815,725222,472100,4025215,5161880,5524500
81.5,316966,91005,68078,407000,456491,1320487,392873,700225,446470,3704930,4460393,5209201
82.5,295895,93449,73559,507839,492154,1168865,469483,659222,412522,3422781,3806719,4893716
83.5,256866,97214,78505,617484,536315,1038435,549873,608746,373563,3178758,3222891,4584513
84.5,205433,102044,82536,730214,589612,932938,632109,555015,332803,2971845,2719346,4284303
85.5,150248,107590,85277,839116,652249,852184,714182,503020,292932,2800388,2297462,3993197
86.5,99960,113379,86401,937216,723808,794015,794036,456163,255909,2662364,1952541,3709774
87.5,60313,118812,85675,1018743,803052,755553,869554,416342,222937,2555576,1676543,3432006
88.5,32984,123176,83001,1080140,887772,733843,938523,384280,194571,2477779,1460193,3158016
89.5,16377,125710,78444,1120541,974738,726098,998624,359891,170887,2426742,1294405,2886668
90.5,7415,125697,72231,1141628,1059807,729722,1047476,342600,151656,2400257,1171095,2617959
91.5,3081,122600,64729,1147012,1138228,742226,1082760,331551,136490,2396106,1083563,2353185
92.5,1186,116182,56403,1141383,1205114,761146,1102419,325704,124951,2411982,1026575,2094861
93.5,428,106597,47756,1129698,1256024,783972,1104916,323870,116622,2445393,996296,1846409
94.5,146,94407,39268,1116559,1287544,808147,1089498,324700,111151,2493546,990127,1611670
95.5,48,80508,31346,1105860,1297734,831125,1056407,326679,108265,2553242,1006511,1394346
96.5,16,65976,24286,1100653,1286352,850484,1006982,328161,107778,2620791,1044714,1197483
97.5,5,51881,18261,1103167,1254819,864075,943606,327472,109588,2691982,1104581,1023105
98.5,2,39111,13326,1114897,1205933,870168,869497,323084,113668,2762112,1186243,872051
99.5,0,28250,9440,1136712,1143430,867582,788383,313840,120056,2826107,1289771,744029
100.5,0,19551,6493,1168930,1071475,855752,704106,299158,128840,2878742,1414743,637828
101.5,0,12968,4338,1211356,994196,834749,620254,279170,140137,2914938,1559758,551616
102.5,0,8251,2816,1263289,915315,805222,539854,254712,154078,2930134,1721911,483263
103.5,0,5041,1778,1323505,837919,768301,465200,227172,170776,2920678,1896315,430616
104.5,0,2961,1092,1390250,764364,725457,397789,198228,190299,2884186,2075789,391719
105.5,0,1676,653,1461266,696277,678350,338377,169553,212639,2819815,2250861,364961
106.5,0,915,381,1533865,634645,628685,287099,142558,237677,2728394,2410199,349166
107.5,0,483,216,1605076,579930,578083,243626,118248,265158,2612379,2541548,343658
108.5,0,248,120,1671851,532203,527987,207330,97173,294669,2475644,2633123,348297
109.5,0,123,65,1731305,491265,479600,177419,79490,325635,2323110,2675233,363517
110.5,0,60,34,1780972,456750,433858,153049,65053,357330,2160294,2661832,390372
111.5,0,28,18,1819018,428206,391428,133401,53539,388898,1992822,2591621,430585
112.5,0,13,9,1844385,405157,352728,117728,44538,419406,1825995,2468396,486589
113.5,0,6,5,1856839,387138,317964,105378,37636,447895,1664435,2300542,561544
114.5,0,3,2,1856919,373723,287172,95801,32452,473446,1511869,2099761,659280
115.5,0,1,1,1845806,364537,260262,88552,28668,495246,1371036,1879358,784115
116.5,2,0,0,1825127,359258,237057,83274,26033,512643,1243710,1652465,940479
117.5,4,0,0,1796747,357615,217331,79695,24366,525186,1130809,1430574,1132279
