particle_size,16_3_20_1_00,16_3_20_1_01,16_3_20_1_02,16_2_20_1_00,16_2_20_1_01,16_2_20_1_02,16_1_4_1_00,16_1_4_1_01,16_1_4_1_02,14_3_20_1_00,14_3_20_1_01,14_3_20_1_02,14_2_16_1_00,14_2_16_1_01,14_2_16_1_02,14_1_4_1_00,14_1_4_1_01,14_1_4_1_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
46.5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
48.5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
49.5,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
50.5,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
51.5,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
52.5,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,1
53.5,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,3
54.5,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,1,9
55.5,0,0,0,0,1,0,0,188,0,0,0,0,0,0,0,0,3,24
56.5,0,0,0,0,3,0,0,244,0,0,0,0,0,0,0,0,8,61
57.5,0,0,0,0,5,0,0,313,0,0,0,0,0,0,0,1,18,143
58.5,0,0,0,0,10,0,0,398,1,0,0,0,0,0,0,5,39,316
59.5,0,0,0,0,19,0,0,504,2,0,0,0,0,0,0,16,80,663
60.5,0,0,0,0,34,0,0,633,3,0,0,0,0,0,0,52,159,1320
61.5,0,0,0,0,59,0,0,790,4,0,0,0,0,0,0,150,303,2508
62.5,0,0,0,0,101,0,0,981,5,0,0,0,0,0,0,404,559,4560
63.5,0,0,0,0,169,0,0,1211,7,0,1,0,0,0,0,1016,996,7956
64.5,0,0,0,0,274,0,0,1489,9,1,2,0,0,0,0,2395,1724,13363
65.5,0,0,0,0,435,0,0,1823,11,3,5,0,0,0,0,5303,2900,21661
66.5,1,0,0,0,675,0,0,2222,13,6,9,1,0,0,0,11073,4749,33968
67.5,3,2,0,0,1027,0,0,2698,16,15,18,2,0,2,0,21872,7586,51650
68.5,7,4,0,0,1531,0,0,3266,19,35,35,4,1,3,0,41004,11834,76310
69.5,15,7,1,0,2245,0,2,3940,22,76,64,6,3,5,0,73180,18059,109763
70.5,33,14,3,0,3239,0,6,4737,26,163,117,10,8,8,0,124700,26989,153976
71.5,70,26,8,0,4610,0,17,5676,29,338,209,16,18,14,0,203448,39549,211002
72.5,142,50,18,0,6481,0,47,6781,34,679,364,24,42,23,0,318657,56887,282886
73.5,282,92,41,0,9013,0,121,8073,38,1318,625,35,96,37,0,480392,80402,371559
74.5,546,167,91,0,12415,0,298,9578,43,2474,1051,51,211,60,0,698780,111765,478731
75.5,1027,299,197,0,16959,0,692,11325,49,4491,1737,73,445,95,1,983062,152934,605784
76.5,1880,526,412,0,22999,3,1518,13340,55,7884,2819,103,904,149,2,1340592,206166,753671
77.5,3351,912,835,1,30987,8,3142,15653,62,13392,4497,144,1768,232,4,1775911,274011,922846
78.5,5811,1554,1637,4,41500,21,6130,18295,69,22021,7049,199,3321,358,7,2290054,359298,1113206
79.5,9809,2604,3109,11,55264,53,11259,21292,78,35087,10864,275,5995,546,13,2880174,465106,1324071
80.5,16121,4293,5711,29,73174,118,19463,24673,89,54225,16466,378,10395,827,22,3539537,594712,1554196
81.5,25802,6955,10152,74,96316,244,31683,28463,101,81374,24544,522,17325,1239,39,4257893,751529,1801812
82.5,40238,11074,17456,180,125972,468,48606,32683,115,118729,35991,721,27772,1839,66,5022146,939015,2064702
83.5,61178,17322,29044,421,163608,841,70370,37350,131,168658,51926,1000,42865,2703,112,5817238,1160564,2340291
84.5,90747,26616,46786,943,210848,1430,96314,42476,151,233585,73724,1395,63787,3935,185,6627133,1419379,2625757
85.5,131426,40166,73021,2029,269401,2313,124895,48069,174,315861,103021,1955,91670,5672,302,7435793,1718321,2918155
86.5,186005,59528,110530,4185,340977,3586,153832,54126,202,417625,141721,2756,127460,8095,486,8228044,2059749,3214530
87.5,257493,86644,162453,8281,427153,5364,180475,60641,235,540675,191968,3910,171812,11437,772,8990288,2445349,3512027
88.5,349012,123869,232162,15716,529236,7790,202295,67601,275,686353,256101,5580,225012,15995,1208,9711001,2875966,3807991
89.5,463663,173968,323093,28623,648113,11039,217350,74982,324,855464,336593,8008,286945,22144,1865,10381031,3351440,4100037
90.5,604391,240090,438577,50047,784114,15340,224602,82760,382,1048223,435957,11549,357122,30349,2843,10993694,3870472,4386109
91.5,773861,325703,581678,84070,936920,20991,224007,90899,453,1264233,556643,16722,434758,41178,4278,11544722,4430521,4664510
92.5,974345,434499,755074,135789,1105523,28383,216390,99365,539,1502506,700924,24279,518866,55323,6359,12032061,5027747,4933917
93.5,1207648,570261,960980,211103,1288250,38036,203180,108116,644,1761503,870774,35302,608378,73611,9337,12455612,5657010,5193368
94.5,1475056,736715,1201127,316257,1482850,50634,186089,117112,772,2039205,1067764,51324,702248,97027,13547,12816900,6311936,5442244
95.5,1777327,937364,1476772,457167,1686644,67070,166826,126311,929,2333203,1292970,74481,799537,126724,19425,13118738,6985050,5680235
96.5,2114701,1175321,1788741,638607,1896695,88511,146885,135675,1121,2640804,1546904,107689,899474,164052,27534,13364903,7667971,5907297
97.5,2486938,1453156,2137463,863399,2109990,116450,127435,145169,1357,2959146,1829485,154837,1001483,210565,38584,13559825,8351668,6123613
98.5,2893368,1772765,2522996,1131762,2323612,152785,109289,154762,1649,3285313,2140030,220954,1105194,268043,53459,13708328,9026761,6329540
99.5,3332945,2135268,2945017,1440984,2534868,199884,92932,164432,2010,3616459,2477293,312330,1210425,338504,73237,13815402,9683853,6525575
100.5,3804305,2540944,3402782,1785497,2741391,260645,78581,174164,2460,3949910,2839513,436514,1317161,424202,99210,13886028,10313867,6712314
101.5,4305814,2989203,3895039,2157363,2941182,338537,66259,183950,3021,4283267,3224496,602127,1425521,527627,132893,13925036,10908372,6890422
102.5,4835613,3478585,4419911,2547085,3132624,437598,55861,193794,3726,4614485,3629706,818433,1535727,651479,176020,13937007,11459882,7060604
103.5,5391644,4006797,4974770,2944602,3314467,562381,47208,203708,4612,4941928,4052359,1094636,1648076,798627,230526,13926209,11962100,7223592
