particle_size,sample,filter,dilution_factor,tech_rep,values
0.5,mG15.5,yes,500,00,0
1.5,mG15.5,yes,500,00,0
2.5,mG15.5,yes,500,00,0
3.5,mG15.5,yes,500,00,0
4.5,mG15.5,yes,500,00,0
5.5,mG15.5,yes,500,00,0
6.5,mG15.5,yes,500,00,0
7.5,mG15.5,yes,500,00,0
8.5,mG15.5,yes,500,00,0
9.5,mG15.5,yes,500,00,0
10.5,mG15.5,yes,500,00,0
11.5,mG15.5,yes,500,00,0
12.5,mG15.5,yes,500,00,0
13.5,mG15.5,yes,500,00,0
14.5,mG15.5,yes,500,00,0
15.5,mG15.5,yes,500,00,0
16.5,mG15.5,yes,500,00,0
17.5,mG15.5,yes,500,00,0
18.5,mG15.5,yes,500,00,0
19.5,mG15.5,yes,500,00,0
20.5,mG15.5,yes,500,00,0
21.5,mG15.5,yes,500,00,0
22.5,mG15.5,yes,500,00,0
23.5,mG15.5,yes,500,00,0
24.5,mG15.5,yes,500,00,0
25.5,mG15.5,yes,500,00,0
26.5,mG15.5,yes,500,00,0
27.5,mG15.5,yes,500,00,0
28.5,mG15.5,yes,500,00,0
29.5,mG15.5,yes,500,00,0
30.5,mG15.5,yes,500,00,0
31.5,mG15.5,yes,500,00,0
32.5,mG15.5,yes,500,00,0
33.5,mG15.5,yes,500,00,0
34.5,mG15.5,yes,500,00,0
35.5,mG15.5,yes,500,00,0
36.5,mG15.5,yes,500,00,0
37.5,mG15.5,yes,500,00,0
38.5,mG15.5,yes,500,00,0
39.5,mG15.5,yes,500,00,0
40.5,mG15.5,yes,500,00,0
41.5,mG15.5,yes,500,00,0
42.5,mG15.5,yes,500,00,0
43.5,mG15.5,yes,500,00,0
44.5,mG15.5,yes,500,00,0
45.5,mG15.5,yes,500,00,0
46.5,mG15.5,yes,500,00,0
47.5,mG15.5,yes,500,00,0
48.5,mG15.5,yes,500,00,0
49.5,mG15.5,yes,500,00,0
50.5,mG15.5,yes,500,00,0
51.5,mG15.5,yes,500,00,0
52.5,mG15.5,yes,500,00,0
53.5,mG15.5,yes,500,00,0
54.5,mG15.5,yes,500,00,0
55.5,mG15.5,yes,500,00,0
56.5,mG15.5,yes,500,00,0
57.5,mG15.5,yes,500,00,0
58.5,mG15.5,yes,500,00,0
59.5,mG15.5,yes,500,00,0
60.5,mG15.5,yes,500,00,0
61.5,mG15.5,yes,500,00,0
62.5,mG15.5,yes,500,00,0
63.5,mG15.5,yes,500,00,0
64.5,mG15.5,yes,500,00,0
65.5,mG15.5,yes,500,00,0
66.5,mG15.5,yes,500,00,0
67.5,mG15.5,yes,500,00,0
68.5,mG15.5,yes,500,00,0
69.5,mG15.5,yes,500,00,0
70.5,mG15.5,yes,500,00,0
71.5,mG15.5,yes,500,00,0
72.5,mG15.5,yes,500,00,0
73.5,mG15.5,yes,500,00,0
74.5,mG15.5,yes,500,00,0
75.5,mG15.5,yes,500,00,0
76.5,mG15.5,yes,500,00,0
77.5,mG15.5,yes,500,00,0
78.5,mG15.5,yes,500,00,0
79.5,mG15.5,yes,500,00,0
80.5,mG15.5,yes,500,00,0
81.5,mG15.5,yes,500,00,0
82.5,mG15.5,yes,500,00,0
83.5,mG15.5,yes,500,00,0
84.5,mG15.5,yes,500,00,0
85.5,mG15.5,yes,500,00,0
86.5,mG15.5,yes,500,00,0
87.5,mG15.5,yes,500,00,0
88.5,mG15.5,yes,500,00,0
89.5,mG15.5,yes,500,00,0
90.5,mG15.5,yes,500,00,0
91.5,mG15.5,yes,500,00,1
92.5,mG15.5,yes,500,00,6
93.5,mG15.5,yes,500,00,25
94.5,mG15.5,yes,500,00,90
95.5,mG15.5,yes,500,00,292
96.5,mG15.5,yes,500,00,854
97.5,mG15.5,yes,500,00,2243
98.5,mG15.5,yes,500,00,5289
99.5,mG15.5,yes,500,00,11210
100.5,mG15.5,yes,500,00,21368
101.5,mG15.5,yes,500,00,36661
102.5,mG15.5,yes,500,00,56683
103.5,mG15.5,yes,500,00,79087
104.5,mG15.5,yes,500,00,99722
105.5,mG15.5,yes,500,00,113816
106.5,mG15.5,yes,500,00,117778
107.5,mG15.5,yes,500,00,110694
108.5,mG15.5,yes,500,00,94659
109.5,mG15.5,yes,500,00,73786
110.5,mG15.5,yes,500,00,52528
111.5,mG15.5,yes,500,00,34218
112.5,mG15.5,yes,500,00,20438
113.5,mG15.5,yes,500,00,11216
114.5,mG15.5,yes,500,00,5667
115.5,mG15.5,yes,500,00,2643
116.5,mG15.5,yes,500,00,1140
117.5,mG15.5,yes,500,00,456
118.5,mG15.5,yes,500,00,170
119.5,mG15.5,yes,500,00,59
120.5,mG15.5,yes,500,00,19
121.5,mG15.5,yes,500,00,6
122.5,mG15.5,yes,500,00,2
123.5,mG15.5,yes,500,00,0
124.5,mG15.5,yes,500,00,0
125.5,mG15.5,yes,500,00,0
126.5,mG15.5,yes,500,00,0
127.5,mG15.5,yes,500,00,0
128.5,mG15.5,yes,500,00,0
129.5,mG15.5,yes,500,00,0
130.5,mG15.5,yes,500,00,0
131.5,mG15.5,yes,500,00,0
132.5,mG15.5,yes,500,00,0
133.5,mG15.5,yes,500,00,0
134.5,mG15.5,yes,500,00,0
135.5,mG15.5,yes,500,00,0
136.5,mG15.5,yes,500,00,0
137.5,mG15.5,yes,500,00,0
138.5,mG15.5,yes,500,00,0
139.5,mG15.5,yes,500,00,0
140.5,mG15.5,yes,500,00,0
141.5,mG15.5,yes,500,00,0
142.5,mG15.5,yes,500,00,0
143.5,mG15.5,yes,500,00,0
144.5,mG15.5,yes,500,00,0
