particle_size,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
